virus_taxid,host_types,true_label,predicted_prob,predicted_label,correct,error_type
68887,mosquito,1,0.0702,0,False,false_negative
70566,"biting_midge,mosquito",0,0.2555,1,False,false_positive
72149,tick,1,0.038,0,False,false_negative
77204,"biting_midge,mosquito",0,0.0392,0,True,correct
77763,"biting_midge,mosquito,tick",1,0.0083,0,False,false_negative
80937,mosquito,0,0.0213,0,True,correct
80942,"mosquito,tick",0,0.0355,0,True,correct
85708,mosquito,1,0.1518,1,True,correct
94966,biting_midge,0,0.0595,0,True,correct
94967,biting_midge,0,0.1005,1,False,false_positive
104580,mosquito,1,0.0122,0,False,false_negative
104581,tick,0,0.0958,1,False,false_positive
108088,biting_midge,0,0.0274,0,True,correct
108089,biting_midge,0,0.0356,0,True,correct
118655,"biting_midge,mosquito",0,0.5664,1,False,false_positive
129726,tick,1,0.0786,1,True,correct
129727,tick,1,0.0618,0,False,false_negative
159137,mosquito,0,0.0952,1,False,false_positive
159138,biting_midge,0,0.0425,0,True,correct
159140,biting_midge,0,0.1334,1,False,false_positive
159141,biting_midge,0,0.1742,1,False,false_positive
159142,biting_midge,0,0.3495,1,False,false_positive
159150,biting_midge,0,0.6799,1,False,false_positive
159151,biting_midge,0,0.0582,0,True,correct
164416,mosquito,1,0.1212,1,True,correct
172148,tick,1,0.057,0,False,false_negative
172296,tick,0,0.2041,1,False,false_positive
177895,mosquito,0,0.0587,0,True,correct
177898,mosquito,0,0.0383,0,True,correct
178787,mosquito,0,0.0466,0,True,correct
181003,biting_midge,1,0.185,1,True,correct
185638,mosquito,0,0.0354,0,True,correct
192196,mosquito,0,0.0862,1,False,false_positive
194540,tick,0,0.1849,1,False,false_positive
194675,mosquito,0,0.1113,1,False,false_positive
195055,mosquito,1,0.1653,1,True,correct
196403,mosquito,0,0.0505,0,True,correct
198421,mosquito,0,0.0347,0,True,correct
200401,mosquito,0,0.032,0,True,correct
200402,mosquito,0,0.0141,0,True,correct
200403,mosquito,0,0.0078,0,True,correct
200404,mosquito,0,0.0331,0,True,correct
201466,tick,0,0.0427,0,True,correct
201490,biting_midge,0,0.0268,0,True,correct
204269,tick,0,0.1138,1,False,false_positive
206378,tick,0,0.0468,0,True,correct
218849,mosquito,0,0.0718,0,True,correct
246280,mosquito,0,0.0382,0,True,correct
248058,tick,0,0.0658,0,True,correct
267783,mosquito,0,0.0351,0,True,correct
272636,tick,1,0.217,1,True,correct
273343,mosquito,0,0.0557,0,True,correct
273349,mosquito,0,0.0524,0,True,correct
273357,tick,1,0.0442,0,False,false_negative
273358,mosquito,0,0.0836,1,False,false_positive
273359,mosquito,0,0.0381,0,True,correct
273360,mosquito,0,0.2638,1,False,false_positive
301964,mosquito,0,0.1181,1,False,false_positive
306276,mosquito,0,0.1229,1,False,false_positive
311554,mosquito,0,0.0308,0,True,correct
318836,biting_midge,0,0.0512,0,True,correct
318844,biting_midge,0,0.089,1,False,false_positive
318845,mosquito,0,0.0179,0,True,correct
318849,biting_midge,0,0.0743,1,False,false_positive
318852,mosquito,0,0.1458,1,False,false_positive
332097,mosquito,1,0.1469,1,True,correct
341721,mosquito,0,0.0215,0,True,correct
348009,mosquito,0,0.0522,0,True,correct
348010,mosquito,0,0.0666,0,True,correct
348014,mosquito,0,0.0874,1,False,false_positive
348026,mosquito,0,0.0556,0,True,correct
349066,mosquito,0,0.0394,0,True,correct
358764,tick,0,0.578,1,False,false_positive
365047,mosquito,0,0.0132,0,True,correct
374448,tick,0,0.0614,0,True,correct
380160,mosquito,0,0.0425,0,True,correct
380435,mosquito,0,0.0385,0,True,correct
380442,mosquito,0,0.0191,0,True,correct
390844,mosquito,0,0.0271,0,True,correct
390845,mosquito,0,0.0594,0,True,correct
442712,mosquito,0,0.0307,0,True,correct
442713,mosquito,0,0.0407,0,True,correct
464979,mosquito,0,0.0462,0,True,correct
478577,mosquito,0,0.0628,0,True,correct
487050,tick,0,0.0693,0,True,correct
487097,tick,0,0.0601,0,True,correct
487098,tick,0,0.0332,0,True,correct
487102,tick,0,0.0596,0,True,correct
490110,biting_midge,0,0.01,0,True,correct
490111,biting_midge,0,0.0223,0,True,correct
498356,tick,0,0.0405,0,True,correct
499854,mosquito,0,0.1191,1,False,false_positive
500324,biting_midge,0,0.0307,0,True,correct
507486,mosquito,1,0.0549,0,False,false_negative
526523,tick,0,0.1732,1,False,false_positive
537023,mosquito,0,0.0982,1,False,false_positive
543721,mosquito,0,0.0589,0,True,correct
544571,mosquito,0,0.0585,0,True,correct
552554,mosquito,0,0.0724,1,False,false_positive
559180,mosquito,0,0.0824,1,False,false_positive
562957,mosquito,0,0.0325,0,True,correct
577122,mosquito,0,0.1762,1,False,false_positive
595217,tick,0,0.0966,1,False,false_positive
603003,mosquito,0,0.0237,0,True,correct
611708,mosquito,1,0.2575,1,True,correct
631267,mosquito,0,0.0496,0,True,correct
643132,mosquito,0,0.0148,0,True,correct
644609,tick,0,0.1302,1,False,false_positive
644610,tick,0,0.0691,0,True,correct
649187,mosquito,0,0.1433,1,False,false_positive
667516,mosquito,0,0.1079,1,False,false_positive
673515,"biting_midge,mosquito",0,0.0625,0,True,correct
687386,mosquito,0,0.178,1,False,false_positive
688436,tick,0,0.4346,1,False,false_positive
688437,tick,0,0.2612,1,False,false_positive
690897,mosquito,0,0.0318,0,True,correct
694009,mosquito,1,0.0791,1,True,correct
698672,mosquito,0,0.1182,1,False,false_positive
707546,tick,0,0.1304,1,False,false_positive
742825,mosquito,0,0.0779,1,False,false_positive
748192,mosquito,0,0.0992,1,False,false_positive
864693,mosquito,0,0.0377,0,True,correct
864698,mosquito,0,0.0577,0,True,correct
881914,tick,0,0.2946,1,False,false_positive
908872,mosquito,0,0.0335,0,True,correct
908873,tick,0,0.0312,0,True,correct
932699,mosquito,0,0.0195,0,True,correct
932700,mosquito,0,0.0416,0,True,correct
936308,mosquito,0,0.0952,1,False,false_positive
941340,mosquito,0,0.0393,0,True,correct
985683,mosquito,0,0.1345,1,False,false_positive
999729,biting_midge,0,0.018,0,True,correct
1001303,tick,1,0.1235,1,True,correct
1002273,tick,1,0.1136,1,True,correct
1003835,tick,0,0.4014,1,False,false_positive
1010666,tick,0,0.1467,1,False,false_positive
1010669,tick,0,0.0127,0,True,correct
1027466,tick,0,0.0381,0,True,correct
1034771,mosquito,0,0.0926,1,False,false_positive
1034791,mosquito,0,0.1082,1,False,false_positive
1034792,mosquito,0,0.0902,1,False,false_positive
1034793,mosquito,0,0.276,1,False,false_positive
1034795,mosquito,0,0.0463,0,True,correct
1034800,mosquito,0,0.026,0,True,correct
1034803,mosquito,0,0.0707,0,True,correct
1034805,mosquito,0,0.0592,0,True,correct
1041933,mosquito,0,0.0103,0,True,correct
1046551,mosquito,0,0.049,0,True,correct
1048536,mosquito,0,0.1016,1,False,false_positive
1076255,mosquito,0,0.0553,0,True,correct
1096141,tick,0,0.0317,0,True,correct
1105173,mosquito,0,0.0305,0,True,correct
1125677,mosquito,0,0.0113,0,True,correct
1126383,mosquito,0,0.0688,0,True,correct
1126384,mosquito,0,0.2545,1,False,false_positive
1133363,biting_midge,0,0.1242,1,False,false_positive
1170505,mosquito,0,0.1185,1,False,false_positive
1170506,mosquito,0,0.0553,0,True,correct
1172985,"mosquito,tick",1,0.2796,1,True,correct
1204160,tick,0,0.0109,0,True,correct
1204161,tick,0,0.0676,0,True,correct
1213620,tick,0,0.0376,0,True,correct
1213621,tick,0,0.0265,0,True,correct
1216928,tick,0,0.0199,0,True,correct
1217821,tick,0,0.1087,1,False,false_positive
1219465,tick,0,0.2555,1,False,false_positive
1229186,mosquito,0,0.0521,0,True,correct
1230254,mosquito,0,0.0496,0,True,correct
1231903,mosquito,0,0.2838,1,False,false_positive
1244565,mosquito,0,0.0399,0,True,correct
1254420,mosquito,0,0.1453,1,False,false_positive
1271872,mosquito,0,0.0337,0,True,correct
1271873,mosquito,0,0.0474,0,True,correct
1272940,mosquito,0,0.0132,0,True,correct
1272942,mosquito,0,0.0132,0,True,correct
1272943,mosquito,0,0.0209,0,True,correct
1272945,mosquito,0,0.0108,0,True,correct
1272946,mosquito,0,0.017,0,True,correct
1272949,mosquito,0,0.0094,0,True,correct
1272952,tick,0,0.0544,0,True,correct
1272955,mosquito,0,0.0753,1,False,false_positive
1272958,biting_midge,0,0.0247,0,True,correct
1272959,mosquito,0,0.1852,1,False,false_positive
1272960,mosquito,0,0.4052,1,False,false_positive
1272961,mosquito,0,0.0397,0,True,correct
1272962,tick,0,0.0561,0,True,correct
1286143,mosquito,0,0.175,1,False,false_positive
1289939,biting_midge,0,0.0329,0,True,correct
1302179,mosquito,0,0.0494,0,True,correct
1335626,tick,1,0.0501,0,False,false_negative
1399582,mosquito,0,0.2516,1,False,false_positive
1406950,mosquito,0,0.0144,0,True,correct
1407072,mosquito,0,0.0231,0,True,correct
1408137,mosquito,0,0.0596,0,True,correct
1414603,tick,0,0.1733,1,False,false_positive
1424280,tick,0,0.0802,1,False,false_positive
1427476,mosquito,0,0.0315,0,True,correct
1428456,tick,0,0.171,1,False,false_positive
1428581,tick,0,0.0816,1,False,false_positive
1428582,tick,0,0.0477,0,True,correct
1428763,"biting_midge,mosquito",0,0.0614,0,True,correct
1435294,mosquito,0,0.0809,1,False,false_positive
1440170,mosquito,1,0.1728,1,True,correct
1445557,mosquito,0,0.0336,0,True,correct
1453404,tick,0,0.0343,0,True,correct
1453408,tick,1,0.3666,1,True,correct
1453409,tick,0,0.0723,0,True,correct
1453410,tick,0,0.2459,1,False,false_positive
1456752,tick,0,0.214,1,False,false_positive
1457166,mosquito,0,0.036,0,True,correct
1459044,tick,0,0.0654,0,True,correct
1471048,tick,0,0.2928,1,False,false_positive
1479613,mosquito,0,0.0966,1,False,false_positive
1484570,tick,0,0.1762,1,False,false_positive
1484571,tick,0,0.1475,1,False,false_positive
1484573,tick,0,0.0354,0,True,correct
1485186,mosquito,0,0.2501,1,False,false_positive
1489102,tick,0,0.0226,0,True,correct
1501396,"mosquito,tick",1,0.0423,0,False,false_negative
1513199,mosquito,0,0.1156,1,False,false_positive
1526514,tick,0,0.0372,0,True,correct
1526521,tick,0,0.0886,1,False,false_positive
1526522,tick,0,0.1169,1,False,false_positive
1530251,"mosquito,tick",0,0.041,0,True,correct
1531283,tick,0,0.0235,0,True,correct
1531287,tick,0,0.0246,0,True,correct
1534467,mosquito,0,0.1987,1,False,false_positive
1534468,mosquito,0,0.0807,1,False,false_positive
1552845,mosquito,0,0.0718,0,True,correct
1552846,mosquito,0,0.0267,0,True,correct
1562507,mosquito,0,0.06,0,True,correct
1564099,tick,0,0.0529,0,True,correct
1564119,tick,0,0.0321,0,True,correct
1564120,tick,0,0.0216,0,True,correct
1564122,tick,0,0.054,0,True,correct
1565590,mosquito,0,0.0318,0,True,correct
1565591,mosquito,0,0.0236,0,True,correct
1567404,mosquito,0,0.0342,0,True,correct
1569258,biting_midge,0,0.0287,0,True,correct
1569259,mosquito,0,0.0479,0,True,correct
1569922,tick,0,0.146,1,False,false_positive
1590835,mosquito,0,0.0341,0,True,correct
1597962,tick,1,0.0939,1,True,correct
1607696,mosquito,0,0.0964,1,False,false_positive
1608040,tick,0,0.0749,1,False,false_positive
1608043,tick,0,0.064,0,True,correct
1608046,tick,0,0.0783,1,False,false_positive
1608047,tick,0,0.0602,0,True,correct
1608049,tick,0,0.0624,0,True,correct
1608056,tick,0,0.0449,0,True,correct
1608059,mosquito,0,0.0445,0,True,correct
1608077,mosquito,0,0.0345,0,True,correct
1608083,tick,0,0.3475,1,False,false_positive
1608084,tick,0,0.255,1,False,false_positive
1608085,tick,0,0.0196,0,True,correct
1608089,tick,0,0.0569,0,True,correct
1608090,tick,0,0.0407,0,True,correct
1608094,tick,0,0.144,1,False,false_positive
1608128,mosquito,0,0.0921,1,False,false_positive
1608129,mosquito,0,0.0452,0,True,correct
1608130,mosquito,0,0.208,1,False,false_positive
1608131,mosquito,0,0.0544,0,True,correct
1608132,mosquito,0,0.0546,0,True,correct
1608134,mosquito,0,0.0283,0,True,correct
1608138,tick,0,0.03,0,True,correct
1608142,mosquito,0,0.0431,0,True,correct
1608145,tick,0,0.1484,1,False,false_positive
1608146,tick,0,0.0279,0,True,correct
1608147,mosquito,0,0.0435,0,True,correct
1610817,tick,0,0.0296,0,True,correct
1610820,tick,0,0.0348,0,True,correct
1611039,mosquito,0,0.028,0,True,correct
1618189,tick,1,0.1842,1,True,correct
1618254,tick,0,0.042,0,True,correct
1619662,tick,0,0.0447,0,True,correct
1620507,tick,0,0.136,1,False,false_positive
1620895,mosquito,0,0.0187,0,True,correct
1620896,tick,0,0.0366,0,True,correct
1623310,mosquito,0,0.0505,0,True,correct
1628184,mosquito,0,0.1903,1,False,false_positive
1628186,mosquito,0,0.0142,0,True,correct
1633878,tick,0,0.045,0,True,correct
1634381,tick,0,0.2345,1,False,false_positive
1642042,tick,0,0.0368,0,True,correct
1642852,mosquito,0,0.0795,1,False,false_positive
1653304,mosquito,0,0.1468,1,False,false_positive
1678230,mosquito,1,0.073,1,True,correct
1678231,mosquito,0,0.0933,1,False,false_positive
1678234,mosquito,0,0.3076,1,False,false_positive
1679172,tick,0,0.1093,1,False,false_positive
1692255,tick,0,0.0592,0,True,correct
1697349,mosquito,0,0.0311,0,True,correct
1708574,mosquito,0,0.0839,1,False,false_positive
1708654,mosquito,0,0.0683,0,True,correct
1712570,tick,0,0.0255,0,True,correct
1746058,tick,0,0.0655,0,True,correct
1752929,tick,0,0.5482,1,False,false_positive
1756186,tick,0,0.0311,0,True,correct
1758878,mosquito,0,0.0717,0,True,correct
1763596,tick,0,0.0109,0,True,correct
1763623,mosquito,0,0.0465,0,True,correct
1764076,mosquito,1,0.0668,0,False,false_negative
1766829,mosquito,0,0.0487,0,True,correct
1769781,mosquito,0,0.0384,0,True,correct
1803034,mosquito,0,0.0461,0,True,correct
1803263,mosquito,0,0.0893,1,False,false_positive
1803956,mosquito,1,0.0443,0,False,false_negative
1805494,mosquito,0,0.0396,0,True,correct
1807813,mosquito,0,0.0949,1,False,false_positive
1814226,tick,0,0.0512,0,True,correct
1819301,biting_midge,0,0.0786,1,False,false_positive
1819302,mosquito,0,0.0921,1,False,false_positive
1819303,mosquito,0,0.1786,1,False,false_positive
1819304,mosquito,0,0.2382,1,False,false_positive
1819306,mosquito,0,0.0248,0,True,correct
1819307,mosquito,0,0.059,0,True,correct
1820046,tick,0,0.6208,1,False,false_positive
1821222,mosquito,0,0.0867,1,False,false_positive
1821227,mosquito,0,0.0766,1,False,false_positive
1821545,mosquito,0,0.0238,0,True,correct
1833915,tick,0,0.0364,0,True,correct
1833928,tick,0,0.0333,0,True,correct
1844920,tick,0,0.0781,1,False,false_positive
1844928,tick,0,0.0664,0,True,correct
1851087,tick,0,0.055,0,True,correct
1864484,tick,0,0.2615,1,False,false_positive
1868221,"mosquito,tick",0,0.2609,1,False,false_positive
1883111,tick,0,0.0378,0,True,correct
1890418,mosquito,0,0.0347,0,True,correct
1890684,mosquito,0,0.0305,0,True,correct
1890685,mosquito,0,0.1039,1,False,false_positive
1913640,tick,0,0.0466,0,True,correct
1914448,mosquito,0,0.0611,0,True,correct
1916690,biting_midge,0,0.0273,0,True,correct
1917976,tick,0,0.0268,0,True,correct
1919071,mosquito,0,0.0413,0,True,correct
1927799,mosquito,0,0.0415,0,True,correct
1928710,mosquito,0,0.0326,0,True,correct
1930825,mosquito,0,0.1141,1,False,false_positive
1933178,"biting_midge,mosquito",0,0.1221,1,False,false_positive
1933191,tick,0,0.0166,0,True,correct
1940570,tick,0,0.1394,1,False,false_positive
1954248,mosquito,0,0.0466,0,True,correct
1955137,"biting_midge,mosquito,tick",0,0.0377,0,True,correct
1955163,"biting_midge,mosquito,tick",0,0.2995,1,False,false_positive
1955166,"mosquito,tick",0,0.1289,1,False,false_positive
1955168,"biting_midge,mosquito,tick",0,0.0241,0,True,correct
1955170,biting_midge,0,0.0229,0,True,correct
1955198,biting_midge,0,0.0325,0,True,correct
1963247,mosquito,0,0.0584,0,True,correct
1963253,mosquito,0,0.0411,0,True,correct
1969397,mosquito,0,0.0305,0,True,correct
1969398,mosquito,0,0.0418,0,True,correct
1969399,mosquito,0,0.0618,0,True,correct
1969400,mosquito,0,0.0242,0,True,correct
1969830,mosquito,0,0.0504,0,True,correct
1971396,tick,0,0.012,0,True,correct
1972567,mosquito,0,0.0693,0,True,correct
1972568,mosquito,1,0.0775,1,True,correct
1972569,mosquito,0,0.0958,1,False,false_positive
1972570,mosquito,0,0.0547,0,True,correct
1972612,mosquito,0,0.0317,0,True,correct
1972626,biting_midge,0,0.0319,0,True,correct
1972682,mosquito,0,0.017,0,True,correct
1972683,mosquito,0,0.1193,1,False,false_positive
1972684,mosquito,0,0.1349,1,False,false_positive
1972685,mosquito,0,0.0571,0,True,correct
1972687,mosquito,0,0.0636,0,True,correct
1977074,tick,0,0.1528,1,False,false_positive
1977075,tick,0,0.141,1,False,false_positive
1981097,tick,0,0.06,0,True,correct
1983771,tick,0,0.051,0,True,correct
1983779,tick,0,0.0844,1,False,false_positive
1985374,tick,0,0.0679,0,True,correct
2010277,mosquito,0,0.2027,1,False,false_positive
2014339,tick,0,0.0157,0,True,correct
2015054,tick,0,0.0267,0,True,correct
2015056,tick,0,0.0431,0,True,correct
2015057,tick,0,0.041,0,True,correct
2015063,tick,0,0.0345,0,True,correct
2016461,tick,0,0.0353,0,True,correct
2018471,biting_midge,0,0.028,0,True,correct
2020880,tick,0,0.1055,1,False,false_positive
2021721,mosquito,0,0.0451,0,True,correct
2025477,tick,0,0.1445,1,False,false_positive
2025478,tick,0,0.0969,1,False,false_positive
2025480,tick,0,0.1027,1,False,false_positive
2026602,mosquito,0,0.0281,0,True,correct
2026603,mosquito,0,0.0231,0,True,correct
2027354,tick,0,0.0714,0,True,correct
2027355,tick,0,0.018,0,True,correct
2030127,"mosquito,tick",0,0.0597,0,True,correct
2034330,tick,0,0.0423,0,True,correct
2036702,mosquito,0,0.0609,0,True,correct
2036703,mosquito,0,0.0288,0,True,correct
2036955,mosquito,0,0.0519,0,True,correct
2040592,mosquito,0,0.0312,0,True,correct
2045185,mosquito,0,0.2103,1,False,false_positive
2045186,mosquito,0,0.2584,1,False,false_positive
2050976,mosquito,0,0.208,1,False,false_positive
2053814,mosquito,0,0.0087,0,True,correct
2055261,tick,0,0.0285,0,True,correct
2072351,mosquito,0,0.1597,1,False,false_positive
2079603,tick,0,0.1652,1,False,false_positive
2079604,tick,0,0.0626,0,True,correct
2079605,tick,0,0.1262,1,False,false_positive
2079606,tick,0,0.0714,0,True,correct
2079610,tick,0,0.034,0,True,correct
2083198,mosquito,1,0.0518,0,False,false_negative
2094261,mosquito,0,0.063,0,True,correct
2108521,mosquito,0,0.2838,1,False,false_positive
2109376,mosquito,0,0.0611,0,True,correct
2116536,tick,0,0.1626,1,False,false_positive
2137161,tick,1,0.5384,1,True,correct
2169701,mosquito,1,0.0918,1,True,correct
2170057,tick,0,0.0378,0,True,correct
2170061,tick,0,0.0462,0,True,correct
2201043,tick,0,0.0618,0,True,correct
2202565,mosquito,0,0.0349,0,True,correct
2217875,tick,0,0.0434,0,True,correct
2219899,tick,0,0.0898,1,False,false_positive
2219997,"biting_midge,mosquito,tick",0,0.6449,1,False,false_positive
2250219,mosquito,0,0.045,0,True,correct
2259111,tick,0,0.0323,0,True,correct
2269360,"mosquito,tick",1,0.2638,1,True,correct
2290890,tick,0,0.0154,0,True,correct
2303487,mosquito,0,0.052,0,True,correct
2303490,mosquito,0,0.05,0,True,correct
2304481,mosquito,0,0.0411,0,True,correct
2304484,mosquito,0,0.0208,0,True,correct
2304485,mosquito,0,0.2036,1,False,false_positive
2304505,mosquito,0,0.033,0,True,correct
2304509,mosquito,0,0.0425,0,True,correct
2304510,mosquito,0,0.0768,1,False,false_positive
2304511,mosquito,0,0.0443,0,True,correct
2304514,mosquito,0,0.1393,1,False,false_positive
2304515,mosquito,0,0.026,0,True,correct
2304647,tick,0,0.1033,1,False,false_positive
2305258,mosquito,0,0.0884,1,False,false_positive
2315722,mosquito,0,0.1307,1,False,false_positive
2419667,tick,0,0.0696,0,True,correct
2421440,mosquito,0,0.3202,1,False,false_positive
2486204,mosquito,0,0.0386,0,True,correct
2486715,mosquito,0,0.0294,0,True,correct
2491660,mosquito,0,0.0317,0,True,correct
2498143,tick,0,0.2024,1,False,false_positive
2498144,mosquito,0,0.0426,0,True,correct
2499242,mosquito,0,0.2175,1,False,false_positive
2547358,mosquito,0,0.0595,0,True,correct
2555547,tick,0,0.0528,0,True,correct
2555890,tick,0,0.0354,0,True,correct
2555893,tick,0,0.0366,0,True,correct
2555896,tick,0,0.1442,1,False,false_positive
2560014,tick,0,0.0241,0,True,correct
2560015,tick,0,0.3536,1,False,false_positive
2560016,tick,0,0.0432,0,True,correct
2569589,tick,0,0.0365,0,True,correct
2569609,tick,0,0.0404,0,True,correct
2569610,tick,0,0.017,0,True,correct
2572766,biting_midge,0,0.0787,1,False,false_positive
2583416,tick,0,0.033,0,True,correct
2583479,tick,0,0.078,1,False,false_positive
2585267,"biting_midge,mosquito,tick",0,0.0328,0,True,correct
2591803,tick,0,0.0393,0,True,correct
2593991,biting_midge,0,0.1931,1,False,false_positive
2594109,mosquito,0,0.0604,0,True,correct
2599624,mosquito,0,0.0425,0,True,correct
2601858,mosquito,0,0.0667,0,True,correct
2602438,mosquito,0,0.1573,1,False,false_positive
2606251,mosquito,0,0.1955,1,False,false_positive
2607737,mosquito,0,0.055,0,True,correct
2607738,mosquito,0,0.0547,0,True,correct
2607739,mosquito,0,0.0499,0,True,correct
2609058,mosquito,0,0.0621,0,True,correct
2609059,mosquito,0,0.0429,0,True,correct
2650668,mosquito,0,0.0385,0,True,correct
2651930,mosquito,0,0.0306,0,True,correct
2651931,mosquito,0,0.0177,0,True,correct
2651939,mosquito,0,0.1291,1,False,false_positive
