virus_taxid,host_types,true_label,predicted_prob,predicted_label,correct,error_type,virus_family
11318,tick,1,0.159,1,True,correct,Orthomyxoviridae
11569,tick,1,0.3891,1,True,correct,Orthomyxoviridae
11574,mosquito,0,0.0242,0,True,correct,Peribunyaviridae
11575,mosquito,0,0.0946,1,False,false_positive,Peribunyaviridae
11577,mosquito,0,0.0573,0,True,correct,Peribunyaviridae
11580,mosquito,0,0.0331,0,True,correct,Peribunyaviridae
11582,"biting_midge,mosquito",0,0.0223,0,True,correct,Peribunyaviridae
11588,mosquito,0,0.5212,1,False,false_positive,Phenuiviridae
11591,tick,0,0.0193,0,True,correct,Phenuiviridae
11788,mosquito,0,0.105,1,False,false_positive,Retroviridae
11827,mosquito,1,0.0551,0,False,false_negative,Retroviridae
11864,mosquito,0,0.0814,1,False,false_positive,Retroviridae
11901,biting_midge,1,0.0585,0,False,false_negative,Retroviridae
11976,tick,0,0.0765,1,False,false_positive,Caliciviridae
12063,mosquito,1,0.1009,1,True,correct,Picornaviridae
12072,mosquito,1,0.2655,1,True,correct,Picornaviridae
12542,"mosquito,tick",1,0.4569,1,True,correct,Flaviviridae
28314,tick,0,0.0483,0,True,correct,Parvoviridae
28344,mosquito,0,0.197,1,False,false_positive,Arteriviridae
31657,tick,0,0.0534,0,True,correct,Pestiviridae
31658,mosquito,0,0.0706,0,True,correct,Flaviviridae
33720,biting_midge,0,0.0444,0,True,correct,Sedoreoviridae
34613,tick,0,0.1024,1,False,false_positive,Ixodidae
35279,tick,0,0.1378,1,False,false_positive,Flaviviridae
35305,mosquito,0,0.0905,1,False,false_positive,Peribunyaviridae
35307,mosquito,0,0.0536,0,True,correct,Peribunyaviridae
35308,mosquito,0,0.2062,1,False,false_positive,Peribunyaviridae
35313,mosquito,0,0.0282,0,True,correct,Peribunyaviridae
35316,mosquito,0,0.5,1,False,false_positive,Peribunyaviridae
35318,mosquito,0,0.0432,0,True,correct,Peribunyaviridae
35320,mosquito,0,0.2253,1,False,false_positive,Peribunyaviridae
35327,biting_midge,0,0.2886,1,False,false_positive,Sedoreoviridae
35332,biting_midge,0,0.5651,1,False,false_positive,Sedoreoviridae
35338,mosquito,0,0.0352,0,True,correct,Parvoviridae
35511,mosquito,0,0.0484,0,True,correct,Peribunyaviridae
35513,mosquito,0,0.0604,0,True,correct,Peribunyaviridae
35514,mosquito,0,0.0574,0,True,correct,Peribunyaviridae
35515,mosquito,0,0.0325,0,True,correct,Peribunyaviridae
35516,mosquito,0,0.0719,0,True,correct,Peribunyaviridae
37124,mosquito,1,0.3696,1,True,correct,Togaviridae
38837,mosquito,0,0.0352,0,True,correct,Flaviviridae
40004,tick,0,0.095,1,False,false_positive,Flaviviridae
40012,tick,0,0.2524,1,False,false_positive,Flaviviridae
40051,"biting_midge,mosquito",0,0.582,1,False,false_positive,Sedoreoviridae
40052,mosquito,1,0.0578,0,False,false_negative,Sedoreoviridae
40053,mosquito,1,0.1007,1,True,correct,Sedoreoviridae
40054,"biting_midge,mosquito",0,0.0475,0,True,correct,Sedoreoviridae
40056,mosquito,0,0.1309,1,False,false_positive,Sedoreoviridae
40060,mosquito,0,0.052,0,True,correct,Sedoreoviridae
40061,"biting_midge,mosquito",0,0.0456,0,True,correct,Sedoreoviridae
40062,"biting_midge,mosquito",0,0.022,0,True,correct,Sedoreoviridae
40064,tick,1,0.0746,1,True,correct,Sedoreoviridae
40065,mosquito,0,0.2364,1,False,false_positive,Sedoreoviridae
40067,tick,0,0.1593,1,False,false_positive,Sedoreoviridae
44024,mosquito,1,0.1792,1,True,correct,Flaviviridae
44027,mosquito,0,0.0677,0,True,correct,Flaviviridae
45029,biting_midge,0,0.0645,0,True,correct,Sedoreoviridae
45032,biting_midge,0,0.118,1,False,false_positive,Sedoreoviridae
45269,mosquito,0,0.0167,0,True,correct,Peribunyaviridae
45270,mosquito,0,0.0495,0,True,correct,Peribunyaviridae
45767,mosquito,0,0.0486,0,True,correct,Peribunyaviridae
45768,mosquito,0,0.0783,1,False,false_positive,Peribunyaviridae
46839,tick,0,0.0569,0,True,correct,Spinareoviridae
47300,tick,0,0.3493,1,False,false_positive,Flaviviridae
47465,mosquito,0,0.13,1,False,false_positive,Sedoreoviridae
48542,mosquito,1,0.1087,1,True,correct,Togaviridae
48543,mosquito,1,0.1993,1,True,correct,Togaviridae
53017,tick,0,0.1695,1,False,false_positive,Orthomyxoviridae
59301,mosquito,1,0.0493,0,False,false_negative,Togaviridae
59302,mosquito,1,0.6537,1,True,correct,Togaviridae
59303,mosquito,1,0.064,0,False,false_negative,Togaviridae
59304,mosquito,0,0.3688,1,False,false_positive,Togaviridae
59305,mosquito,1,0.0866,1,True,correct,Togaviridae
59509,tick,0,0.0294,0,True,correct,Poxviridae
60875,mosquito,1,0.0688,0,False,false_negative,Togaviridae
60876,mosquito,1,0.2125,1,True,correct,Togaviridae
60879,mosquito,0,0.2118,1,False,false_positive,Togaviridae
62352,tick,0,0.0549,0,True,correct,Spinareoviridae
64286,"mosquito,tick",1,0.3097,1,True,correct,Flaviviridae
64287,tick,0,0.0814,1,False,false_positive,Flaviviridae
64288,tick,0,0.0928,1,False,false_positive,Flaviviridae
64290,mosquito,1,0.2269,1,True,correct,Flaviviridae
64292,mosquito,1,0.2133,1,True,correct,Flaviviridae
64293,mosquito,1,0.4665,1,True,correct,Flaviviridae
64295,mosquito,0,0.051,0,True,correct,Flaviviridae
64296,mosquito,0,0.3208,1,False,false_positive,Flaviviridae
64297,mosquito,0,0.0539,0,True,correct,Flaviviridae
64305,tick,1,0.1547,1,True,correct,Flaviviridae
64307,tick,0,0.2066,1,False,false_positive,Flaviviridae
64308,mosquito,0,0.1672,1,False,false_positive,Flaviviridae
64310,tick,0,0.0803,1,False,false_positive,Flaviviridae
64311,mosquito,1,0.4335,1,True,correct,Flaviviridae
64318,mosquito,1,0.1651,1,True,correct,Flaviviridae
64320,mosquito,1,0.3754,1,True,correct,Flaviviridae
66264,biting_midge,0,0.2243,1,False,false_positive,Peribunyaviridae
68887,mosquito,1,0.0702,0,False,false_negative,Anelloviridae
70566,"biting_midge,mosquito",0,0.2555,1,False,false_positive,Peribunyaviridae
72149,tick,1,0.038,0,False,false_negative,Picornaviridae
77204,"biting_midge,mosquito",0,0.0392,0,True,correct,Sedoreoviridae
77763,"biting_midge,mosquito,tick",1,0.0083,0,False,false_negative,Sedoreoviridae
80937,mosquito,0,0.0213,0,True,correct,Peribunyaviridae
80942,"mosquito,tick",0,0.0355,0,True,correct,Peribunyaviridae
85708,mosquito,1,0.1518,1,True,correct,Circoviridae
94966,biting_midge,0,0.0595,0,True,correct,Sedoreoviridae
94967,biting_midge,0,0.1005,1,False,false_positive,Sedoreoviridae
104580,mosquito,1,0.0122,0,False,false_negative,Sedoreoviridae
104581,tick,0,0.0958,1,False,false_positive,Sedoreoviridae
108088,biting_midge,0,0.0274,0,True,correct,Sedoreoviridae
108089,biting_midge,0,0.0356,0,True,correct,Sedoreoviridae
118655,"biting_midge,mosquito",0,0.5664,1,False,false_positive,Peribunyaviridae
129726,tick,1,0.0786,1,True,correct,Poxviridae
129727,tick,1,0.0618,0,False,false_negative,Poxviridae
159137,mosquito,0,0.0952,1,False,false_positive,Peribunyaviridae
159138,biting_midge,0,0.0425,0,True,correct,Peribunyaviridae
159140,biting_midge,0,0.1334,1,False,false_positive,Peribunyaviridae
159141,biting_midge,0,0.1742,1,False,false_positive,Peribunyaviridae
159142,biting_midge,0,0.3495,1,False,false_positive,Peribunyaviridae
159150,biting_midge,0,0.6799,1,False,false_positive,Peribunyaviridae
159151,biting_midge,0,0.0582,0,True,correct,Peribunyaviridae
164416,mosquito,1,0.1212,1,True,correct,Flaviviridae
172148,tick,1,0.057,0,False,false_negative,Flaviviridae
172296,tick,0,0.2041,1,False,false_positive,Parvoviridae
177895,mosquito,0,0.0587,0,True,correct,Togaviridae
177898,mosquito,0,0.0383,0,True,correct,Togaviridae
178787,mosquito,0,0.0466,0,True,correct,Peribunyaviridae
181003,biting_midge,1,0.185,1,True,correct,Peribunyaviridae
185638,mosquito,0,0.0354,0,True,correct,Parvoviridae
192196,mosquito,0,0.0862,1,False,false_positive,Peribunyaviridae
194540,tick,0,0.1849,1,False,false_positive,Nairoviridae
194675,mosquito,0,0.1113,1,False,false_positive,Parvoviridae
195055,mosquito,1,0.1653,1,True,correct,Picornaviridae
196403,mosquito,0,0.0505,0,True,correct,Retroviridae
198421,mosquito,0,0.0347,0,True,correct,Peribunyaviridae
200401,mosquito,0,0.032,0,True,correct,Rhabdoviridae
200402,mosquito,0,0.0141,0,True,correct,Rhabdoviridae
200403,mosquito,0,0.0078,0,True,correct,Rhabdoviridae
200404,mosquito,0,0.0331,0,True,correct,Rhabdoviridae
201466,tick,0,0.0427,0,True,correct,Picornaviridae
201490,biting_midge,0,0.0268,0,True,correct,Sedoreoviridae
204269,tick,0,0.1138,1,False,false_positive,Sedoreoviridae
206378,tick,0,0.0468,0,True,correct,Phenuiviridae
218849,mosquito,0,0.0718,0,True,correct,Flaviviridae
246280,mosquito,0,0.0382,0,True,correct,Sedoreoviridae
248058,tick,0,0.0658,0,True,correct,Nairoviridae
267783,mosquito,0,0.0351,0,True,correct,Sedoreoviridae
272636,tick,1,0.217,1,True,correct,Parvoviridae
273343,mosquito,0,0.0557,0,True,correct,Peribunyaviridae
273349,mosquito,0,0.0524,0,True,correct,Peribunyaviridae
273357,tick,1,0.0442,0,False,false_negative,Peribunyaviridae
273358,mosquito,0,0.0836,1,False,false_positive,Peribunyaviridae
273359,mosquito,0,0.0381,0,True,correct,Peribunyaviridae
273360,mosquito,0,0.2638,1,False,false_positive,Peribunyaviridae
301964,mosquito,0,0.1181,1,False,false_positive,Flaviviridae
306276,mosquito,0,0.1229,1,False,false_positive,Sedoreoviridae
311554,mosquito,0,0.0308,0,True,correct,Spinareoviridae
318836,biting_midge,0,0.0512,0,True,correct,Rhabdoviridae
318844,biting_midge,0,0.089,1,False,false_positive,Rhabdoviridae
318845,mosquito,0,0.0179,0,True,correct,Rhabdoviridae
318849,biting_midge,0,0.0743,1,False,false_positive,Rhabdoviridae
318852,mosquito,0,0.1458,1,False,false_positive,Rhabdoviridae
332097,mosquito,1,0.1469,1,True,correct,Togaviridae
341721,mosquito,0,0.0215,0,True,correct,Spinareoviridae
348009,mosquito,0,0.0522,0,True,correct,Peribunyaviridae
348010,mosquito,0,0.0666,0,True,correct,Peribunyaviridae
348014,mosquito,0,0.0874,1,False,false_positive,Peribunyaviridae
348026,mosquito,0,0.0556,0,True,correct,Peribunyaviridae
349066,mosquito,0,0.0394,0,True,correct,Spinareoviridae
358764,tick,0,0.578,1,False,false_positive,Pestiviridae
365047,mosquito,0,0.0132,0,True,correct,Peribunyaviridae
374448,tick,0,0.0614,0,True,correct,Flaviviridae
380160,mosquito,0,0.0425,0,True,correct,Rhabdoviridae
380435,mosquito,0,0.0385,0,True,correct,Rhabdoviridae
380442,mosquito,0,0.0191,0,True,correct,Rhabdoviridae
390844,mosquito,0,0.0271,0,True,correct,Flaviviridae
390845,mosquito,0,0.0594,0,True,correct,Flaviviridae
442712,mosquito,0,0.0307,0,True,correct,Peribunyaviridae
442713,mosquito,0,0.0407,0,True,correct,Peribunyaviridae
464979,mosquito,0,0.0462,0,True,correct,Sedoreoviridae
478577,mosquito,0,0.0628,0,True,correct,Flaviviridae
487050,tick,0,0.0693,0,True,correct,Nairoviridae
487097,tick,0,0.0601,0,True,correct,Phenuiviridae
487098,tick,0,0.0332,0,True,correct,Phenuiviridae
487102,tick,0,0.0596,0,True,correct,Phenuiviridae
490110,biting_midge,0,0.01,0,True,correct,Rhabdoviridae
490111,biting_midge,0,0.0223,0,True,correct,Rhabdoviridae
498356,tick,0,0.0405,0,True,correct,Nairoviridae
499854,mosquito,0,0.1191,1,False,false_positive,Flaviviridae
500324,biting_midge,0,0.0307,0,True,correct,Peribunyaviridae
507486,mosquito,1,0.0549,0,False,false_negative,Peribunyaviridae
526523,tick,0,0.1732,1,False,false_positive,Sedoreoviridae
537023,mosquito,0,0.0982,1,False,false_positive,Flaviviridae
543721,mosquito,0,0.0589,0,True,correct,Peribunyaviridae
544571,mosquito,0,0.0585,0,True,correct,Sedoreoviridae
552554,mosquito,0,0.0724,1,False,false_positive,Peribunyaviridae
559180,mosquito,0,0.0824,1,False,false_positive,Sedoreoviridae
562957,mosquito,0,0.0325,0,True,correct,Coronaviridae
577122,mosquito,0,0.1762,1,False,false_positive,Flaviviridae
595217,tick,0,0.0966,1,False,false_positive,Sedoreoviridae
603003,mosquito,0,0.0237,0,True,correct,Phenuiviridae
611708,mosquito,1,0.2575,1,True,correct,Peribunyaviridae
631267,mosquito,0,0.0496,0,True,correct,Flaviviridae
643132,mosquito,0,0.0148,0,True,correct,Flaviviridae
644609,tick,0,0.1302,1,False,false_positive,Nyamiviridae
644610,tick,0,0.0691,0,True,correct,Nyamiviridae
649187,mosquito,0,0.1433,1,False,false_positive,Flaviviridae
667516,mosquito,0,0.1079,1,False,false_positive,Flaviviridae
673515,"biting_midge,mosquito",0,0.0625,0,True,correct,Flaviviridae
687386,mosquito,0,0.178,1,False,false_positive,Anelloviridae
688436,tick,0,0.4346,1,False,false_positive,Orthomyxoviridae
688437,tick,0,0.2612,1,False,false_positive,Orthomyxoviridae
690897,mosquito,0,0.0318,0,True,correct,Nodaviridae
694009,mosquito,1,0.0791,1,True,correct,Coronaviridae
698672,mosquito,0,0.1182,1,False,false_positive,Rhabdoviridae
707546,tick,0,0.1304,1,False,false_positive,Parvoviridae
742825,mosquito,0,0.0779,1,False,false_positive,Circoviridae
748192,mosquito,0,0.0992,1,False,false_positive,Parvoviridae
864693,mosquito,0,0.0377,0,True,correct,Rhabdoviridae
864698,mosquito,0,0.0577,0,True,correct,Rhabdoviridae
881914,tick,0,0.2946,1,False,false_positive,Sedoreoviridae
908872,mosquito,0,0.0335,0,True,correct,Sedoreoviridae
908873,tick,0,0.0312,0,True,correct,Sedoreoviridae
932699,mosquito,0,0.0195,0,True,correct,Rhabdoviridae
932700,mosquito,0,0.0416,0,True,correct,Rhabdoviridae
936308,mosquito,0,0.0952,1,False,false_positive,Rhabdoviridae
941340,mosquito,0,0.0393,0,True,correct,Flaviviridae
985683,mosquito,0,0.1345,1,False,false_positive,Flaviviridae
999729,biting_midge,0,0.018,0,True,correct,Peribunyaviridae
1001303,tick,1,0.1235,1,True,correct,Phenuiviridae
1002273,tick,1,0.1136,1,True,correct,Anelloviridae
1003835,tick,0,0.4014,1,False,false_positive,Phenuiviridae
1010666,tick,0,0.1467,1,False,false_positive,Phenuiviridae
1010669,tick,0,0.0127,0,True,correct,Phenuiviridae
1027466,tick,0,0.0381,0,True,correct,Orthomyxoviridae
1034771,mosquito,0,0.0926,1,False,false_positive,Anelloviridae
1034791,mosquito,0,0.1082,1,False,false_positive,Anelloviridae
1034792,mosquito,0,0.0902,1,False,false_positive,Anelloviridae
1034793,mosquito,0,0.276,1,False,false_positive,Anelloviridae
1034795,mosquito,0,0.0463,0,True,correct,Unassigned
1034800,mosquito,0,0.026,0,True,correct,Papillomaviridae
1034803,mosquito,0,0.0707,0,True,correct,Poxviridae
1034805,mosquito,0,0.0592,0,True,correct,Genomoviridae
1041933,mosquito,0,0.0103,0,True,correct,Flaviviridae
1046551,mosquito,0,0.049,0,True,correct,Flaviviridae
1048536,mosquito,0,0.1016,1,False,false_positive,Flaviviridae
1076255,mosquito,0,0.0553,0,True,correct,Poxviridae
1096141,tick,0,0.0317,0,True,correct,Parvoviridae
1105173,mosquito,0,0.0305,0,True,correct,Flaviviridae
1125677,mosquito,0,0.0113,0,True,correct,Flaviviridae
1126383,mosquito,0,0.0688,0,True,correct,Parvoviridae
1126384,mosquito,0,0.2545,1,False,false_positive,Parvoviridae
1133363,biting_midge,0,0.1242,1,False,false_positive,Peribunyaviridae
1170505,mosquito,0,0.1185,1,False,false_positive,Sedoreoviridae
1170506,mosquito,0,0.0553,0,True,correct,Sedoreoviridae
1172985,"mosquito,tick",1,0.2796,1,True,correct,Flaviviridae
1204160,tick,0,0.0109,0,True,correct,Phenuiviridae
1204161,tick,0,0.0676,0,True,correct,Orthomyxoviridae
1213620,tick,0,0.0376,0,True,correct,Phenuiviridae
1213621,tick,0,0.0265,0,True,correct,Phenuiviridae
1216928,tick,0,0.0199,0,True,correct,Phenuiviridae
1217821,tick,0,0.1087,1,False,false_positive,Parvoviridae
1219465,tick,0,0.2555,1,False,false_positive,Phenuiviridae
1229186,mosquito,0,0.0521,0,True,correct,Rhabdoviridae
1230254,mosquito,0,0.0496,0,True,correct,Birnaviridae
1231903,mosquito,0,0.2838,1,False,false_positive,Togaviridae
1244565,mosquito,0,0.0399,0,True,correct,Flaviviridae
1254420,mosquito,0,0.1453,1,False,false_positive,Flaviviridae
1271872,mosquito,0,0.0337,0,True,correct,Rhabdoviridae
1271873,mosquito,0,0.0474,0,True,correct,Rhabdoviridae
1272940,mosquito,0,0.0132,0,True,correct,Rhabdoviridae
1272942,mosquito,0,0.0132,0,True,correct,Rhabdoviridae
1272943,mosquito,0,0.0209,0,True,correct,Rhabdoviridae
1272945,mosquito,0,0.0108,0,True,correct,Rhabdoviridae
1272946,mosquito,0,0.017,0,True,correct,Rhabdoviridae
1272949,mosquito,0,0.0094,0,True,correct,Rhabdoviridae
1272952,tick,0,0.0544,0,True,correct,Rhabdoviridae
1272955,mosquito,0,0.0753,1,False,false_positive,Rhabdoviridae
1272958,biting_midge,0,0.0247,0,True,correct,Rhabdoviridae
1272959,mosquito,0,0.1852,1,False,false_positive,Rhabdoviridae
1272960,mosquito,0,0.4052,1,False,false_positive,Rhabdoviridae
1272961,mosquito,0,0.0397,0,True,correct,Rhabdoviridae
1272962,tick,0,0.0561,0,True,correct,Rhabdoviridae
1286143,mosquito,0,0.175,1,False,false_positive,Flaviviridae
1289939,biting_midge,0,0.0329,0,True,correct,Sedoreoviridae
1302179,mosquito,0,0.0494,0,True,correct,Flaviviridae
1335626,tick,1,0.0501,0,False,false_negative,Coronaviridae
1399582,mosquito,0,0.2516,1,False,false_positive,Flaviviridae
1406950,mosquito,0,0.0144,0,True,correct,Rhabdoviridae
1407072,mosquito,0,0.0231,0,True,correct,Rhabdoviridae
1408137,mosquito,0,0.0596,0,True,correct,Sedoreoviridae
1414603,tick,0,0.1733,1,False,false_positive,Circoviridae
1424280,tick,0,0.0802,1,False,false_positive,Nyamiviridae
1427476,mosquito,0,0.0315,0,True,correct,Unassigned
1428456,tick,0,0.171,1,False,false_positive,Rhabdoviridae
1428581,tick,0,0.0816,1,False,false_positive,Orthomyxoviridae
1428582,tick,0,0.0477,0,True,correct,Orthomyxoviridae
1428763,"biting_midge,mosquito",0,0.0614,0,True,correct,Sedoreoviridae
1435294,mosquito,0,0.0809,1,False,false_positive,Sedoreoviridae
1440170,mosquito,1,0.1728,1,True,correct,Togaviridae
1445557,mosquito,0,0.0336,0,True,correct,Flaviviridae
1453404,tick,0,0.0343,0,True,correct,Nairoviridae
1453408,tick,1,0.3666,1,True,correct,Nairoviridae
1453409,tick,0,0.0723,0,True,correct,Nairoviridae
1453410,tick,0,0.2459,1,False,false_positive,Nairoviridae
1456752,tick,0,0.214,1,False,false_positive,Flaviviridae
1457166,mosquito,0,0.036,0,True,correct,Phenuiviridae
1459044,tick,0,0.0654,0,True,correct,Rhabdoviridae
1471048,tick,0,0.2928,1,False,false_positive,Sedoreoviridae
1479613,mosquito,0,0.0966,1,False,false_positive,Rhabdoviridae
1484570,tick,0,0.1762,1,False,false_positive,Sedoreoviridae
1484571,tick,0,0.1475,1,False,false_positive,Sedoreoviridae
1484573,tick,0,0.0354,0,True,correct,Picornaviridae
1485186,mosquito,0,0.2501,1,False,false_positive,Flaviviridae
1489102,tick,0,0.0226,0,True,correct,Phenuiviridae
1501396,"mosquito,tick",1,0.0423,0,False,false_negative,Peribunyaviridae
1513199,mosquito,0,0.1156,1,False,false_positive,Parvoviridae
1526514,tick,0,0.0372,0,True,correct,Nairoviridae
1526521,tick,0,0.0886,1,False,false_positive,Phenuiviridae
1526522,tick,0,0.1169,1,False,false_positive,Phenuiviridae
1530251,"mosquito,tick",0,0.041,0,True,correct,Picornaviridae
1531283,tick,0,0.0235,0,True,correct,Peribunyaviridae
1531287,tick,0,0.0246,0,True,correct,Phenuiviridae
1534467,mosquito,0,0.1987,1,False,false_positive,Flaviviridae
1534468,mosquito,0,0.0807,1,False,false_positive,Flaviviridae
1552845,mosquito,0,0.0718,0,True,correct,Peribunyaviridae
1552846,mosquito,0,0.0267,0,True,correct,Peribunyaviridae
1562507,mosquito,0,0.06,0,True,correct,Flaviviridae
1564099,tick,0,0.0529,0,True,correct,Phenuiviridae
1564119,tick,0,0.0321,0,True,correct,Phenuiviridae
1564120,tick,0,0.0216,0,True,correct,Phenuiviridae
1564122,tick,0,0.054,0,True,correct,Phenuiviridae
1565590,mosquito,0,0.0318,0,True,correct,Sedoreoviridae
1565591,mosquito,0,0.0236,0,True,correct,Sedoreoviridae
1567404,mosquito,0,0.0342,0,True,correct,Spinareoviridae
1569258,biting_midge,0,0.0287,0,True,correct,Rhabdoviridae
1569259,mosquito,0,0.0479,0,True,correct,Rhabdoviridae
1569922,tick,0,0.146,1,False,false_positive,Phenuiviridae
1590835,mosquito,0,0.0341,0,True,correct,Peribunyaviridae
1597962,tick,1,0.0939,1,True,correct,Sedoreoviridae
1607696,mosquito,0,0.0964,1,False,false_positive,Parvoviridae
1608040,tick,0,0.0749,1,False,false_positive,Phenuiviridae
1608043,tick,0,0.064,0,True,correct,Phenuiviridae
1608046,tick,0,0.0783,1,False,false_positive,Phenuiviridae
1608047,tick,0,0.0602,0,True,correct,Nairoviridae
1608049,tick,0,0.0624,0,True,correct,Rhabdoviridae
1608056,tick,0,0.0449,0,True,correct,Phenuiviridae
1608059,mosquito,0,0.0445,0,True,correct,Peribunyaviridae
1608077,mosquito,0,0.0345,0,True,correct,Phenuiviridae
1608083,tick,0,0.3475,1,False,false_positive,Nairoviridae
1608084,tick,0,0.255,1,False,false_positive,Phenuiviridae
1608085,tick,0,0.0196,0,True,correct,Rhabdoviridae
1608089,tick,0,0.0569,0,True,correct,Rhabdoviridae
1608090,tick,0,0.0407,0,True,correct,Rhabdoviridae
1608094,tick,0,0.144,1,False,false_positive,Nairoviridae
1608128,mosquito,0,0.0921,1,False,false_positive,Orthomyxoviridae
1608129,mosquito,0,0.0452,0,True,correct,Orthomyxoviridae
1608130,mosquito,0,0.208,1,False,false_positive,Orthomyxoviridae
1608131,mosquito,0,0.0544,0,True,correct,Orthomyxoviridae
1608132,mosquito,0,0.0546,0,True,correct,Orthomyxoviridae
1608134,mosquito,0,0.0283,0,True,correct,Rhabdoviridae
1608138,tick,0,0.03,0,True,correct,Chuviridae
1608142,mosquito,0,0.0431,0,True,correct,Peribunyaviridae
1608145,tick,0,0.1484,1,False,false_positive,Phenuiviridae
1608146,tick,0,0.0279,0,True,correct,Rhabdoviridae
1608147,mosquito,0,0.0435,0,True,correct,Peribunyaviridae
1610817,tick,0,0.0296,0,True,correct,Nairoviridae
1610820,tick,0,0.0348,0,True,correct,Anelloviridae
1611039,mosquito,0,0.028,0,True,correct,Draupnirviridae
1618189,tick,1,0.1842,1,True,correct,Orthomyxoviridae
1618254,tick,0,0.042,0,True,correct,Kanorauviridae
1619662,tick,0,0.0447,0,True,correct,Peribunyaviridae
1620507,tick,0,0.136,1,False,false_positive,Rhabdoviridae
1620895,mosquito,0,0.0187,0,True,correct,Rhabdoviridae
1620896,tick,0,0.0366,0,True,correct,Rhabdoviridae
1623310,mosquito,0,0.0505,0,True,correct,Peribunyaviridae
1628184,mosquito,0,0.1903,1,False,false_positive,Peribunyaviridae
1628186,mosquito,0,0.0142,0,True,correct,Rhabdoviridae
1633878,tick,0,0.045,0,True,correct,Hepaciviridae
1634381,tick,0,0.2345,1,False,false_positive,Polyomaviridae
1642042,tick,0,0.0368,0,True,correct,Phenuiviridae
1642852,mosquito,0,0.0795,1,False,false_positive,Peribunyaviridae
1653304,mosquito,0,0.1468,1,False,false_positive,Flaviviridae
1678230,mosquito,1,0.073,1,True,correct,Peribunyaviridae
1678231,mosquito,0,0.0933,1,False,false_positive,Peribunyaviridae
1678234,mosquito,0,0.3076,1,False,false_positive,Peribunyaviridae
1679172,tick,0,0.1093,1,False,false_positive,Sedoreoviridae
1692255,tick,0,0.0592,0,True,correct,Circoviridae
1697349,mosquito,0,0.0311,0,True,correct,Iridoviridae
1708574,mosquito,0,0.0839,1,False,false_positive,Flaviviridae
1708654,mosquito,0,0.0683,0,True,correct,Flaviviridae
1712570,tick,0,0.0255,0,True,correct,Nairoviridae
1746058,tick,0,0.0655,0,True,correct,Pestiviridae
1752929,tick,0,0.5482,1,False,false_positive,Peribunyaviridae
1756186,tick,0,0.0311,0,True,correct,Rhabdoviridae
1758878,mosquito,0,0.0717,0,True,correct,Rhabdoviridae
1763596,tick,0,0.0109,0,True,correct,Phenuiviridae
1763623,mosquito,0,0.0465,0,True,correct,Peribunyaviridae
1764076,mosquito,1,0.0668,0,False,false_negative,Peribunyaviridae
1766829,mosquito,0,0.0487,0,True,correct,Sedoreoviridae
1769781,mosquito,0,0.0384,0,True,correct,Spinareoviridae
1803034,mosquito,0,0.0461,0,True,correct,Rhabdoviridae
1803263,mosquito,0,0.0893,1,False,false_positive,Rhabdoviridae
1803956,mosquito,1,0.0443,0,False,false_negative,Picornaviridae
1805494,mosquito,0,0.0396,0,True,correct,Flaviviridae
1807813,mosquito,0,0.0949,1,False,false_positive,Nodaviridae
1814226,tick,0,0.0512,0,True,correct,Peribunyaviridae
