virus_taxid,virus_name,virus_family,virus_genus,vector_groups,vector_borne_to_humans,model_predicted,correctly_classified
2304485,Culex mosquito virus 5,Chuviridae,Culicidavirus,mosquito,0,1,False
1608138,Wuhan tick virus 2,Chuviridae,Mivirus,tick,0,0,True
1844928,Avian-like circovirus,Circoviridae,Circovirus,tick,0,0,True
2486204,Bat associated circovirus,Circoviridae,Circovirus,mosquito,0,0,True
2661633,Bororo circovirus,Circoviridae,Cyclovirus,mosquito,0,0,True
3108755,Circovirus sp. gt3aAU,Circoviridae,Circovirus,tick,0,1,False
2304514,Culex circovirus-like virus,Circoviridae,Circovirus,mosquito,0,1,False
3416578,Culex pipiens circovirus,Circoviridae,Circovirus,mosquito,0,0,True
2217875,Humpback whale blow-associated circo-like virus 2,Circoviridae,,tick,0,0,True
1692255,Marine snail associated circular virus,Circoviridae,,tick,0,0,True
2733038,Mojica circovirus,Circoviridae,,mosquito,0,0,True
1414603,Pigeon circovirus,Circoviridae,Circovirus,tick,0,1,False
85708,Porcine circovirus 2,Circoviridae,Circovirus,mosquito,1,1,True
1868221,Porcine circovirus 3,Circoviridae,Circovirus,"mosquito,tick",0,1,False
2863959,Sichuan mosquito circovirus 1,Circoviridae,Circovirus,mosquito,0,1,False
2863960,Sichuan mosquito circovirus 2,Circoviridae,Circovirus,mosquito,0,0,True
2951468,Sichuan tick-associated circovirus 1,Circoviridae,Circovirus,tick,0,0,True
2951469,Sichuan tick-associated circovirus 2,Circoviridae,Circovirus,tick,0,0,True
2951470,Sichuan tick-associated circovirus 3,Circoviridae,Circovirus,tick,0,0,True
2951471,Sichuan tick-associated circovirus 4,Circoviridae,Circovirus,tick,0,1,False
2951472,Sichuan tick-associated circovirus 5,Circoviridae,Circovirus,tick,0,0,True
2914978,Tick associated circo-like virus,Circoviridae,,tick,0,0,True
1983779,Tick circovirus,Circoviridae,Circovirus,tick,0,1,False
2951483,Tick-associated circular virus-1,Circoviridae,,tick,0,1,False
2951484,Tick-associated circular virus-2,Circoviridae,,tick,0,0,True
2951485,Tick-associated circular virus-3,Circoviridae,,tick,0,0,True
2951486,Tick-associated circular virus-4,Circoviridae,,tick,0,0,True
2951487,Tick-associated circular virus-5,Circoviridae,,tick,0,0,True
2951488,Tick-associated circular virus-6,Circoviridae,,tick,0,0,True
2952039,XiangYun circovirus-like virus,Circoviridae,,mosquito,0,0,True
3467576,Zaloxo virus 3,Circoviridae,,tick,0,0,True
742825,uncultured circovirus,Circoviridae,Circovirus,mosquito,0,1,False
2419667,Bat alphacoronavirus,Coronaviridae,Alphacoronavirus,tick,0,0,True
1335626,Middle East respiratory syndrome-related coronavirus,Coronaviridae,Betacoronavirus,tick,1,0,False
694009,Severe acute respiratory syndrome-related coronavirus,Coronaviridae,Betacoronavirus,mosquito,1,1,True
562957,Tai Forest coronavirus,Coronaviridae,,mosquito,0,0,True
1611039,Mosquito circovirus,Draupnirviridae,Valentivirus,mosquito,0,0,True
2789883,Aedes aegypti To flavivirus-like,Flaviviridae,,mosquito,0,0,True
390845,Aedes flavivirus,Flaviviridae,Orthoflavivirus,mosquito,0,0,True
1046551,Aedes galloisi flavivirus,Flaviviridae,Orthoflavivirus,mosquito,0,0,True
2877428,Aedes notoscriptus flavivirus,Flaviviridae,,mosquito,0,0,True
3043611,Aguas Brancas virus,Flaviviridae,Orthoflavivirus,mosquito,0,0,True
172148,Alkhumra hemorrhagic fever virus,Flaviviridae,Orthoflavivirus,tick,1,0,False
2269360,Alongshan virus,Flaviviridae,,"mosquito,tick",1,1,True
2053814,Anopheles flavivirus,Flaviviridae,,mosquito,0,0,True
1890418,Anopheles hyrcanus flavivirus,Flaviviridae,,mosquito,0,0,True
2861005,Aripo virus,Flaviviridae,,mosquito,0,1,False
2689355,Atrato Flavi-like virus 1,Flaviviridae,,mosquito,0,0,True
2859665,Atrato Flavi-like virus 2,Flaviviridae,,mosquito,0,1,False
2859666,Atrato Flavi-like virus 3,Flaviviridae,,mosquito,0,1,False
64290,Bagaza virus,Flaviviridae,Orthoflavivirus,mosquito,1,1,True
1534467,Bainyik virus,Flaviviridae,Orthoflavivirus,mosquito,0,1,False
3126522,Baishan forest tick virus,Flaviviridae,,tick,0,1,False
1805494,Bamaga virus,Flaviviridae,,mosquito,0,0,True
38837,Banzi virus,Flaviviridae,Orthoflavivirus,mosquito,0,0,True
478577,Barkedji virus,Flaviviridae,,mosquito,0,0,True
2606251,Barkedji-like virus,Flaviviridae,,mosquito,0,1,False
2305258,Binjari virus,Flaviviridae,Orthoflavivirus,mosquito,0,1,False
64295,Bouboui virus,Flaviviridae,Orthoflavivirus,mosquito,0,0,True
301964,CY1014 virus,Flaviviridae,Orthoflavivirus,mosquito,0,1,False
64305,Cacipacore virus,Flaviviridae,Orthoflavivirus,tick,1,1,True
537023,Calbertado virus,Flaviviridae,Orthoflavivirus,mosquito,0,1,False
31658,Cell fusing agent virus,Flaviviridae,Orthoflavivirus,mosquito,0,0,True
2663721,Chacorore flavivirus,Flaviviridae,,mosquito,0,0,True
631267,Chaoyang virus,Flaviviridae,Orthoflavivirus,mosquito,0,0,True
3064049,Cheeloo Jingmen-like virus,Flaviviridae,,tick,0,1,False
2895586,Cimo flavivirus I,Flaviviridae,Orthoflavivirus,mosquito,0,0,True
2895587,Cimo flavivirus II,Flaviviridae,Orthoflavivirus,mosquito,0,0,True
2895588,Cimo flavivirus III,Flaviviridae,Orthoflavivirus,mosquito,0,0,True
2895589,Cimo flavivirus IV,Flaviviridae,Orthoflavivirus,mosquito,0,0,True
2895591,Cimo flavivirus V,Flaviviridae,Orthoflavivirus,mosquito,0,0,True
2895592,Cimo flavivirus VI,Flaviviridae,Orthoflavivirus,mosquito,0,0,True
2895594,Cimo flavivirus VIII,Flaviviridae,Orthoflavivirus,mosquito,0,0,True
2895596,Cimo flavivirus XI,Flaviviridae,Orthoflavivirus,mosquito,0,0,True
1890684,Cuacua virus,Flaviviridae,,mosquito,0,0,True
2304510,Culex Flavi-like virus,Flaviviridae,,mosquito,0,1,False
390844,Culex flavivirus,Flaviviridae,Orthoflavivirus,mosquito,0,0,True
1048536,Culex theileri flavivirus RP-2011,Flaviviridae,Orthoflavivirus,mosquito,0,1,False
2686042,Culex tritaeniorhynchus flavi-like virus,Flaviviridae,,mosquito,0,0,True
3403577,Culex tritaeniorhynchus jingmenvirus 1,Flaviviridae,,mosquito,0,0,True
1821222,Culiseta flavivirus,Flaviviridae,,mosquito,0,1,False
1969398,Dairy Swamp virus,Flaviviridae,,mosquito,0,0,True
985683,Donggang virus,Flaviviridae,Orthoflavivirus,mosquito,0,1,False
1399582,Duck Tembusu virus,Flaviviridae,Orthoflavivirus,mosquito,0,1,False
64296,Edge Hill virus,Flaviviridae,Orthoflavivirus,mosquito,0,1,False
3403579,Far North Queensland jingmenvirus 1,Flaviviridae,,mosquito,0,0,True
1653304,Fitzroy River virus,Flaviviridae,Orthoflavivirus,mosquito,0,1,False
1955163,Flaviviridae sp.,Flaviviridae,,"biting_midge,mosquito,tick",0,1,False
1562507,Flavivirus 1493VN,Flaviviridae,,mosquito,0,0,True
1041933,Flavivirus AV-2011/Spain,Flaviviridae,,mosquito,0,0,True
941340,Flavivirus Anopheles/PV-Am/ITA/2009,Flaviviridae,Orthoflavivirus,mosquito,0,0,True
64307,Gadgets Gully virus,Flaviviridae,Orthoflavivirus,tick,0,1,False
2602438,Guapiacu virus,Flaviviridae,,mosquito,0,1,False
3154165,Guerrero tick flavivirus 1,Flaviviridae,,tick,0,1,False
2980574,Hameenlinna flavivirus,Flaviviridae,Orthoflavivirus,mosquito,0,0,True
1125677,Hanko virus,Flaviviridae,Orthoflavivirus,mosquito,0,0,True
1969399,Haslams Creek virus,Flaviviridae,,mosquito,0,0,True
3401104,Hebei orthoflavivirus,Flaviviridae,Orthoflavivirus,tick,0,1,False
2712734,Hidden Valley virus,Flaviviridae,,mosquito,0,0,True
64308,Iguape virus,Flaviviridae,Orthoflavivirus,mosquito,0,1,False
1445557,Ilomantsi virus,Flaviviridae,,mosquito,0,0,True
2980582,Inari jingmenvirus,Flaviviridae,,mosquito,0,0,True
11072,Japanese encephalitis virus,Flaviviridae,Orthoflavivirus,"biting_midge,mosquito,tick",1,1,True
2851137,Jaracatia flavivirus,Flaviviridae,,mosquito,0,0,True
1172985,Jingmen tick virus,Flaviviridae,Jingmenvirus,"mosquito,tick",1,1,True
2982807,Jingmenvirus sp.,Flaviviridae,Jingmenvirus,"mosquito,tick",0,1,False
64310,Kadam virus,Flaviviridae,Orthoflavivirus,tick,0,1,False
1456752,Kama virus,Flaviviridae,Orthoflavivirus,tick,0,1,False
218849,Kamiti River virus,Flaviviridae,Orthoflavivirus,mosquito,0,0,True
2045186,Kampung Karu virus,Flaviviridae,Orthoflavivirus,mosquito,0,1,False
64287,Karshi virus,Flaviviridae,Orthoflavivirus,tick,0,1,False
1969397,Karumba virus,Flaviviridae,,mosquito,0,0,True
64311,Kedougou virus,Flaviviridae,Orthoflavivirus,mosquito,1,1,True
2970553,Kilpisjarvi flavivirus,Flaviviridae,Orthoflavivirus,mosquito,0,1,False
44024,Kokobera virus,Flaviviridae,Orthoflavivirus,mosquito,1,1,True
11077,Kunjin virus,Flaviviridae,Orthoflavivirus,mosquito,1,1,True
649187,Lammi virus,Flaviviridae,,mosquito,0,1,False
11085,Langat virus,Flaviviridae,Orthoflavivirus,tick,1,0,False
2980586,Lestijarvi flavi-like virus,Flaviviridae,,mosquito,0,0,True
2045185,Long Pine Key virus,Flaviviridae,Orthoflavivirus,mosquito,0,1,False
11086,Louping ill virus,Flaviviridae,Orthoflavivirus,tick,1,1,True
3467602,Lunay virus,Flaviviridae,Orthoflavivirus,mosquito,0,1,False
1969400,Mac Peak virus,Flaviviridae,,mosquito,0,0,True
2751816,Mansonia flavivirus,Flaviviridae,Orthoflavivirus,mosquito,0,0,True
1105173,Marisma mosquito virus,Flaviviridae,Orthoflavivirus,mosquito,0,0,True
35279,Meaban virus,Flaviviridae,Orthoflavivirus,tick,0,1,False
3132239,Medvezhye Haematopota Flavi-like virus,Flaviviridae,,mosquito,0,0,True
1963247,Menghai flavivirus,Flaviviridae,,mosquito,0,0,True
1708574,Mercadeo virus,Flaviviridae,Orthoflavivirus,mosquito,0,1,False
673515,Mosquito flavivirus,Flaviviridae,Orthoflavivirus,"biting_midge,mosquito",0,0,True
2775126,Mpulungu flavivirus,Flaviviridae,Orthoflavivirus,tick,0,1,False
11079,Murray Valley encephalitis virus,Flaviviridae,Orthoflavivirus,mosquito,1,1,True
667516,Nakiwogo virus,Flaviviridae,,mosquito,0,1,False
1254420,Nanay virus,Flaviviridae,Orthoflavivirus,mosquito,0,1,False
499854,New Mapoon virus,Flaviviridae,Orthoflavivirus,mosquito,0,1,False
374448,Ngoye virus,Flaviviridae,Orthoflavivirus,tick,0,0,True
1485186,Nhumirim virus,Flaviviridae,,mosquito,0,1,False
1286143,Nienokoue virus,Flaviviridae,,mosquito,0,1,False
64292,Ntaya virus,Flaviviridae,Orthoflavivirus,mosquito,1,1,True
1244565,Ochlerotatus caspius flavivirus,Flaviviridae,Orthoflavivirus,mosquito,0,0,True
2751815,Ochlerotatus scapularis flavivirus,Flaviviridae,Orthoflavivirus,mosquito,0,0,True
12542,Omsk hemorrhagic fever virus,Flaviviridae,Orthoflavivirus,"mosquito,tick",1,1,True
3052465,Orthoflavivirus encephalitidis,Flaviviridae,Orthoflavivirus,tick,0,1,False
3052466,Orthoflavivirus ilheusense,Flaviviridae,Orthoflavivirus,mosquito,0,1,False
3045052,Orthoflavivirus sp.,Flaviviridae,Orthoflavivirus,mosquito,0,0,True
1302179,Palm Creek virus,Flaviviridae,Orthoflavivirus,mosquito,0,0,True
1928710,Panmunjeom flavivirus,Flaviviridae,,mosquito,0,0,True
1708654,Parramatta River virus,Flaviviridae,Orthoflavivirus,mosquito,0,0,True
2650668,Phlebotomus-associated flavivirus,Flaviviridae,Orthoflavivirus,mosquito,0,0,True
11083,Powassan virus,Flaviviridae,Orthoflavivirus,"mosquito,tick",1,1,True
3345038,Psorophora ferox flavivirus,Flaviviridae,Orthoflavivirus,mosquito,0,0,True
2751814,Psorophora flavivirus,Flaviviridae,Orthoflavivirus,mosquito,0,1,False
643132,Quang Binh virus,Flaviviridae,Orthoflavivirus,mosquito,0,0,True
64288,Royal Farm virus,Flaviviridae,Orthoflavivirus,tick,0,1,False
3345039,Sabethes albiprivus iflavivirus,Flaviviridae,Orthoflavivirus,mosquito,0,0,True
2491660,Sabethes flavivirus,Flaviviridae,,mosquito,0,0,True
40012,Saumarez Reef virus,Flaviviridae,Orthoflavivirus,tick,0,1,False
3467566,Serra pelada orthoflavivirus,Flaviviridae,Orthoflavivirus,mosquito,0,1,False
3058444,Sichuan tick virus,Flaviviridae,Jingmenvirus,tick,0,1,False
64318,Spondweni virus,Flaviviridae,Orthoflavivirus,mosquito,1,1,True
11080,St. Louis encephalitis virus,Flaviviridae,Orthoflavivirus,mosquito,1,1,True
44027,Stratford virus,Flaviviridae,Orthoflavivirus,mosquito,0,0,True
577122,T'Ho virus,Flaviviridae,Orthoflavivirus,mosquito,0,1,False
2895618,Tafomo virus,Flaviviridae,,mosquito,0,1,False
2829081,Takachi virus,Flaviviridae,,tick,0,1,False
64293,Tembusu virus,Flaviviridae,Orthoflavivirus,mosquito,1,1,True
11084,Tick-borne encephalitis virus,Flaviviridae,Orthoflavivirus,"mosquito,tick",1,1,True
1534468,Torres virus,Flaviviridae,Orthoflavivirus,mosquito,0,1,False
47300,Turkish sheep encephalitis virus,Flaviviridae,Orthoflavivirus,tick,0,1,False
40004,Tyuleniy virus,Flaviviridae,Orthoflavivirus,tick,0,1,False
64297,Uganda S virus,Flaviviridae,Orthoflavivirus,mosquito,0,0,True
64286,Usutu virus,Flaviviridae,Orthoflavivirus,"mosquito,tick",1,1,True
164416,Wesselsbron virus,Flaviviridae,Orthoflavivirus,mosquito,1,1,True
11082,West Nile virus,Flaviviridae,Orthoflavivirus,"mosquito,tick",1,1,True
2421440,West Nile virus 2,Flaviviridae,Orthoflavivirus,mosquito,0,1,False
2952040,XiangYun flavivirus,Flaviviridae,,mosquito,0,1,False
3043598,Xinyang flavivirus,Flaviviridae,Orthoflavivirus,tick,0,1,False
1821227,Xishuangbanna aedes flavivirus,Flaviviridae,,mosquito,0,1,False
2817036,Yamadai flavivirus,Flaviviridae,,mosquito,0,0,True
2259111,Yamaguchi virus,Flaviviridae,,tick,0,0,True
11089,Yellow fever virus,Flaviviridae,Orthoflavivirus,mosquito,1,1,True
2972099,Zhangjiakou Flavi tick virus 1,Flaviviridae,,tick,0,1,False
64320,Zika virus,Flaviviridae,Orthoflavivirus,mosquito,1,1,True
11053,dengue virus type 1,Flaviviridae,Orthoflavivirus,mosquito,1,1,True
11060,dengue virus type 2,Flaviviridae,Orthoflavivirus,mosquito,1,1,True
11069,dengue virus type 3,Flaviviridae,Orthoflavivirus,mosquito,1,1,True
11070,dengue virus type 4,Flaviviridae,Orthoflavivirus,mosquito,1,1,True
2848310,tick-borne encephalitis virus-European subtype,Flaviviridae,Orthoflavivirus,tick,0,1,False
1985374,Cassava associated gemycircularvirus 1,Genomoviridae,Gemycircularvirus,tick,0,0,True
2940812,Flumine genomovirus 3,Genomoviridae,,mosquito,0,0,True
1983771,Gemycircularvirus sp.,Genomoviridae,Gemycircularvirus,tick,0,0,True
2202565,Genomoviridae sp.,Genomoviridae,,mosquito,0,0,True
2016461,Giant panda associated gemycircularvirus,Genomoviridae,Gemycircularvirus,tick,0,0,True
2911995,Molossus molossus associated gemykibivirus 5,Genomoviridae,Gemykibivirus,mosquito,0,0,True
1034805,Mosquito VEM virus SDBVL G,Genomoviridae,Gemycircularvirus,mosquito,0,0,True
2951489,Tick-associated gemycircularvirus 1,Genomoviridae,Gemycircularvirus,tick,0,0,True
2951490,Tick-associated gemycircularvirus 2,Genomoviridae,Gemycircularvirus,tick,0,1,False
2951491,Tick-associated gemycircularvirus 3,Genomoviridae,Gemycircularvirus,tick,0,0,True
2951492,Tick-associated gemycircularvirus 4,Genomoviridae,Gemycircularvirus,tick,0,0,True
2951493,Tick-associated gemycircularvirus 5,Genomoviridae,Gemycircularvirus,tick,0,0,True
2025477,Tick-associated genomovirus 1,Genomoviridae,Gemycircularvirus,tick,0,1,False
2025478,Tick-associated genomovirus 2,Genomoviridae,Gemykolovirus,tick,0,1,False
3052493,Orthohantavirus puumalaense,Hantaviridae,Orthohantavirus,mosquito,1,1,True
2777462,Bandicoot hepacivirus,Hepaciviridae,Orthohepacivirus,tick,0,1,False
1633878,Bovine hepacivirus,Hepaciviridae,Orthohepacivirus,tick,0,0,True
3015527,Culex hepacivirus 1,Hepaciviridae,Orthohepacivirus,mosquito,0,0,True
2696479,Jogalong virus,Hepaciviridae,Orthohepacivirus,mosquito,0,0,True
3052226,Orthohepacivirus bovis,Hepaciviridae,Orthohepacivirus,tick,0,1,False
2498143,Pegivirus sp.,Hepaciviridae,Pegivirus,tick,0,1,False
10407,Hepatitis B virus,Hepadnaviridae,Orthohepadnavirus,mosquito,1,0,False
2715178,Hepeviridae sp.,Hepeviridae,,tick,0,1,False
2055261,Hepevirus sp.,Hepeviridae,,tick,0,0,True
2951464,Sichuan tick hepe-like virus,Hepeviridae,,tick,0,1,False
2018471,Armigeres iflavirus,Iflaviridae,Iflavirus,biting_midge,0,0,True
3377597,Carajas iflavirus,Iflaviridae,Iflavirus,biting_midge,0,1,False
1916690,Iflavirus sp.,Iflaviridae,Iflavirus,biting_midge,0,0,True
3467559,Maraba iflavirus,Iflaviridae,Iflavirus,biting_midge,0,0,True
3038384,Qingdao tick iflavirus,Iflaviridae,Iflavirus,tick,0,0,True
3077378,Manitoba iridescent virus 1,Iridoviridae,,mosquito,0,0,True
1697349,Scale drop disease virus,Iridoviridae,Megalocytivirus,mosquito,0,0,True
34613,Ixodes ricinus,Ixodidae,Ixodes,tick,0,1,False
1618254,Avon-Heathcote Estuary associated circular virus 3,Kanorauviridae,Shanivirus,tick,0,0,True
3467558,Maraba alphamesonivirus,Mesoniviridae,Alphamesonivirus,biting_midge,0,0,True
248058,Abu Hammad virus,Nairoviridae,Orthonairovirus,tick,0,0,True
2849717,Aigai virus,Nairoviridae,Orthonairovirus,tick,0,1,False
3467837,Asian longhorned tick nairovirus,Nairoviridae,Orthonairovirus,tick,0,0,True
2304647,Beiji nairovirus,Nairoviridae,Norwavirus,tick,0,1,False
3078550,Beiji nariovirus,Nairoviridae,Orthonairovirus,tick,0,0,True
1453404,Burana virus,Nairoviridae,Orthonairovirus,tick,0,0,True
2996457,Cencurut virus,Nairoviridae,Orthonairovirus,tick,0,1,False
3391156,Crimean-Congo hemorrhagic fever virus clade III,Nairoviridae,Orthonairovirus,tick,0,0,True
2972221,Dali Nairo tick virus 1,Nairoviridae,,tick,0,0,True
3383105,Desert orthonairovirus,Nairoviridae,Orthonairovirus,tick,0,0,True
2170057,Estero Real virus,Nairoviridae,Orthonairovirus,tick,0,0,True
1971396,Grotenhout virus,Nairoviridae,Norwavirus,tick,0,0,True
2994984,Gubbo nairovirus,Nairoviridae,Orthonairovirus,tick,0,0,True
1608047,Huangpi Tick Virus 1,Nairoviridae,Orthonairovirus,tick,0,0,True
3377089,Hunchun nairovirus,Nairoviridae,Orthonairovirus,tick,0,0,True
1453408,Issyk-Kul virus,Nairoviridae,Orthonairovirus,tick,1,1,True
3248547,Iwanai Valley virus,Nairoviridae,Orthonairovirus,tick,0,1,False
2983972,Ji'an nairovirus,Nairoviridae,,tick,0,0,True
1712570,Kasokero virus,Nairoviridae,Orthonairovirus,tick,0,0,True
498356,Kupe virus,Nairoviridae,Orthonairovirus,tick,0,0,True
2972223,Linzhi Nairo tick virus 1,Nairoviridae,,tick,0,0,True
2943855,Meihua Mountain virus,Nairoviridae,Orthonairovirus,tick,0,0,True
2737675,Meram virus,Nairoviridae,Orthonairovirus,tick,0,1,False
194540,Nairobi sheep disease virus,Nairoviridae,Orthonairovirus,tick,0,1,False
1610817,Nayun tick nairovirus,Nairoviridae,Orthonairovirus,tick,0,0,True
3052364,Ocetevirus paratemnopterygis,Nairoviridae,Ocetevirus,mosquito,0,0,True
2170061,Orthonairovirus artashatense,Nairoviridae,Orthonairovirus,tick,0,0,True
3052510,Orthonairovirus bushkeyense,Nairoviridae,Orthonairovirus,tick,1,1,True
3052511,Orthonairovirus chimense,Nairoviridae,Orthonairovirus,tick,0,0,True
3052512,Orthonairovirus clomorense,Nairoviridae,Orthonairovirus,tick,0,0,True
3052514,Orthonairovirus dugbeense,Nairoviridae,Orthonairovirus,tick,1,0,False
3052518,Orthonairovirus haemorrhagiae,Nairoviridae,Orthonairovirus,tick,1,0,False
3052520,Orthonairovirus huangpiense,Nairoviridae,Orthonairovirus,tick,0,0,True
3052529,Orthonairovirus nairobiense,Nairoviridae,Orthonairovirus,tick,0,1,False
3052534,Orthonairovirus sakhalinense,Nairoviridae,Orthonairovirus,tick,0,1,False
3060506,Orthonairovirus yezoense,Nairoviridae,Orthonairovirus,tick,0,1,False
1977074,Pacific coast tick nairovirus,Nairoviridae,Orthonairovirus,tick,0,1,False
1453409,Paramushir virus,Nairoviridae,Orthonairovirus,tick,0,0,True
3467368,Plateau tick associated orthonairovirus,Nairoviridae,Orthonairovirus,tick,0,0,True
3433940,Plateau tick nairovirus,Nairoviridae,Orthonairovirus,tick,0,0,True
2697641,Rondonia orthonairovirus,Nairoviridae,Orthonairovirus,tick,0,0,True
2951465,Sichuan tick nairovirus,Nairoviridae,Sitinavirus,tick,0,0,True
2795181,Songling virus,Nairoviridae,Orthonairovirus,"mosquito,tick",0,1,False
1526514,South Bay virus,Nairoviridae,Sabavirus,tick,0,0,True
2811963,Sulina virus,Nairoviridae,Orthonairovirus,tick,0,0,True
1608083,Tacheng Tick Virus 1,Nairoviridae,Orthonairovirus,tick,0,1,False
487050,Taggert virus,Nairoviridae,Orthonairovirus,tick,0,0,True
1453410,Tamdy virus,Nairoviridae,Orthonairovirus,tick,0,1,False
2972217,Tonghua Nairo tick virus 1,Nairoviridae,,tick,0,0,True
1608094,Wenzhou Tick Virus,Nairoviridae,Orthonairovirus,tick,0,1,False
3366332,Wetland virus,Nairoviridae,Orthonairovirus,tick,0,0,True
2972222,Xining Nairo tick virus 1,Nairoviridae,,tick,0,0,True
3391820,Xue-Cheng virus,Nairoviridae,Orthonairovirus,tick,0,1,False
2972218,Yanbian Nairo tick virus 1,Nairoviridae,,tick,0,0,True
2825847,Yezo virus,Nairoviridae,Orthonairovirus,tick,0,1,False
2983978,Yichun nairovirus,Nairoviridae,,tick,0,0,True
3394922,Yunnan nairo-like virus 54,Nairoviridae,,tick,0,0,True
2972220,Yushu Nairo tick virus 1,Nairoviridae,,tick,0,1,False
1954248,Circoviridae sp.,Nenyaviridae,Galvornvirus,mosquito,0,0,True
2744402,Carano virus,Nodaviridae,,biting_midge,0,0,True
3064052,Cheeloo noda-like virus 2,Nodaviridae,,tick,0,1,False
3064053,Cheeloo noda-like virus 3,Nodaviridae,,tick,0,0,True
3239312,Chihuahua culicoides nodavirus 1,Nodaviridae,,biting_midge,0,0,True
3154161,Chihuahua tick nodavirus 1,Nodaviridae,,tick,0,0,True
2304509,Culex Daeseongdong-like virus,Nodaviridae,,mosquito,0,0,True
2304511,Culex Hubei-like virus,Nodaviridae,,mosquito,0,0,True
2304481,Culex mosquito virus 1,Nodaviridae,,mosquito,0,0,True
2972252,Luoyang Nodav tick virus 1,Nodaviridae,,tick,0,0,True
690897,Mosquito nodavirus MNV-1,Nodaviridae,Betanodavirus,mosquito,0,0,True
1807813,Newington virus,Nodaviridae,Alphanodavirus,mosquito,0,1,False
1955166,Nodaviridae sp.,Nodaviridae,,"mosquito,tick",0,1,False
3377602,Ouro verde nodavirus,Nodaviridae,,biting_midge,0,0,True
2972254,Tianjin Nodav tick virus 1,Nodaviridae,,tick,0,0,True
3076944,USA noda-like virus,Nodaviridae,,biting_midge,0,0,True
2972253,Yanbian Nodav tick virus 1,Nodaviridae,,tick,0,0,True
3154162,Chihuahua tick nyamivirus 1,Nyamiviridae,,tick,0,0,True
2950736,Ixodes ricinus orinovirus-like virus 1,Nyamiviridae,Formivirus,tick,0,1,False
644609,Nyavirus midwayense,Nyamiviridae,Nyavirus,tick,0,1,False
644610,Nyavirus nyamaniniense,Nyamiviridae,Nyavirus,tick,0,0,True
2776145,Sekira virus,Nyamiviridae,Nyavirus,tick,0,0,True
1424280,Sierra Nevada virus,Nyamiviridae,Nyavirus,tick,0,1,False
3701621,Cytomegalovirus papiine,Orthoherpesviridae,Cytomegalovirus,mosquito,0,0,True
