virus_taxid,virus,virus_family,virus_genus,human_to_human,zoonotic_relaxed,zoonotic_strict
99000,tanapox virus,Poxviridae,Yatapoxvirus,0,1,1
38804,yaba monkey tumor virus,Poxviridae,Yatapoxvirus,0,1,1
132475,yaba-like disease virus,Poxviridae,Yatapoxvirus,0,1,1
3052121,circovirus eniyan,Circoviridae,Circovirus,1,0,0
133704,porcine circovirus 1,Circoviridae,Circovirus,0,1,1
85708,porcine circovirus 2,Circoviridae,Circovirus,0,1,1
1572667,cyclovirus ni-204,Circoviridae,Cyclovirus,0,0,0
742919,cyclovirus pk6197,Circoviridae,Cyclovirus,0,0,0
742925,cyclovirus tn18,Circoviridae,Cyclovirus,1,0,0
742924,cyclovirus tn25,Circoviridae,Cyclovirus,1,0,0
1348500,cyclovirus vn,Circoviridae,Cyclovirus,1,1,1
2038719,human associated cyclovirus 1,Circoviridae,Cyclovirus,1,0,0
2038728,human associated cyclovirus 10,Circoviridae,Cyclovirus,1,0,0
1987745,human associated cyclovirus 11,Circoviridae,Cyclovirus,1,0,0
2169855,human associated cyclovirus 12,Circoviridae,Cyclovirus,1,0,0
2038720,human associated cyclovirus 2,Circoviridae,Cyclovirus,1,0,0
2038721,human associated cyclovirus 3,Circoviridae,Cyclovirus,1,0,0
2038723,human associated cyclovirus 5,Circoviridae,Cyclovirus,1,0,0
2038724,human associated cyclovirus 6,Circoviridae,Cyclovirus,1,0,0
2038725,human associated cyclovirus 7,Circoviridae,Cyclovirus,1,0,0
2038727,human associated cyclovirus 9,Circoviridae,Cyclovirus,1,0,0
1573584,human cyclovirus vn-like,Circoviridae,Cyclovirus,1,0,0
2017081,human fecal virus jorvi2,Circoviridae,,1,0,0
2017082,human fecal virus jorvi3,Circoviridae,,1,0,0
2017083,human fecal virus jorvi4,Circoviridae,,1,0,0
2017080,human fecal virus tarto,Circoviridae,,1,0,0
1965018,human poscv5-like circular virus,Circoviridae,,1,0,0
2714898,human respiratory circovirus-like 1,Circoviridae,,1,0,0
2714899,human respiratory circovirus-like 2,Circoviridae,,1,0,0
2057509,human respiratory circular dna virus,Circoviridae,,1,0,0
2169934,human associated huchismacovirus 1,Smacoviridae,Huchismacovirus,1,0,0
2169935,human associated huchismacovirus 2,Smacoviridae,Huchismacovirus,1,0,0
2169936,human associated huchismacovirus 3,Smacoviridae,Huchismacovirus,1,0,0
1595998,human smacovirus 1,Smacoviridae,Huchismacovirus,1,0,0
2530494,human associated porprismacovirus,Smacoviridae,Inpeasmacovirus,1,0,0
2170113,human associated porprismacovirus 1,Smacoviridae,Porprismacovirus,1,0,0
2170114,human associated porprismacovirus 2,Smacoviridae,Porprismacovirus,1,0,0
2496633,human associated porprismacovirus 3,Smacoviridae,Porprismacovirus,1,0,0
1820159,human feces smacovirus 3,Smacoviridae,Porprismacovirus,1,0,0
1914415,human feces-associated smacovirus,Smacoviridae,Porprismacovirus,1,0,0
145856,human picobirnavirus,Picobirnaviridae,Orthopicobirnavirus,1,1,1
86782,amur virus,Hantaviridae,Orthohantavirus,0,1,1
93830,hantavirus z10,Hantaviridae,Orthohantavirus,0,0,0
2259728,monongahela hantavirus,Hantaviridae,Orthohantavirus,0,1,1
1980456,orthohantavirus andesense,Hantaviridae,Orthohantavirus,1,1,1
3052474,orthohantavirus chocloense,Hantaviridae,Orthohantavirus,0,1,1
3052477,orthohantavirus dobravaense,Hantaviridae,Orthohantavirus,0,1,1
3052480,orthohantavirus hantanense,Hantaviridae,Orthohantavirus,0,1,1
3052493,orthohantavirus puumalaense,Hantaviridae,Orthohantavirus,1,1,1
3052498,orthohantavirus seoulense,Hantaviridae,Orthohantavirus,0,1,1
3052499,orthohantavirus sinnombreense,Hantaviridae,Orthohantavirus,0,1,1
3052503,orthohantavirus tulaense,Hantaviridae,Orthohantavirus,0,1,1
3052789,thottimvirus thottapalayamense,Hantaviridae,Thottimvirus,0,1,1
2609450,cristoli virus,,,0,0,0
2748253,bangui virus,Peribunyaviridae,,0,0,0
2748252,wanowrie virus,Peribunyaviridae,,0,0,0
2170060,zegla orthobunyavirus,Peribunyaviridae,,0,1,1
611708,boraceia virus,Peribunyaviridae,Orthobunyavirus,0,1,1
1501396,ebinur lake virus,Peribunyaviridae,Orthobunyavirus,0,1,1
1764076,gan gan virus,Peribunyaviridae,Orthobunyavirus,0,1,1
507486,khatanga virus,Peribunyaviridae,Orthobunyavirus,0,0,0
1678227,lukuni virus,Peribunyaviridae,Orthobunyavirus,0,0,0
348008,murutucu virus,Peribunyaviridae,Orthobunyavirus,0,1,1
273357,ngari virus,Peribunyaviridae,Orthobunyavirus,0,1,1
2748254,okola virus,Peribunyaviridae,Orthobunyavirus,0,0,0
3052370,orthobunyavirus bakauense,Peribunyaviridae,Orthobunyavirus,0,1,1
3052371,orthobunyavirus bataiense,Peribunyaviridae,Orthobunyavirus,0,1,1
3052381,orthobunyavirus bunyamweraense,Peribunyaviridae,Orthobunyavirus,0,1,1
3052385,orthobunyavirus cacheense,Peribunyaviridae,Orthobunyavirus,0,1,1
3052387,orthobunyavirus caraparuense,Peribunyaviridae,Orthobunyavirus,0,1,1
3052390,orthobunyavirus encephalitidis,Peribunyaviridae,Orthobunyavirus,0,1,1
3052391,orthobunyavirus enseadaense,Peribunyaviridae,Orthobunyavirus,0,0,0
3052397,orthobunyavirus guaroaense,Peribunyaviridae,Orthobunyavirus,0,1,1
1933180,orthobunyavirus horizonteense,Peribunyaviridae,Orthobunyavirus,0,1,1
3052399,orthobunyavirus ileshaense,Peribunyaviridae,Orthobunyavirus,0,0,0
3052401,orthobunyavirus insulae,Peribunyaviridae,Orthobunyavirus,0,1,1
3052402,orthobunyavirus jamestownense,Peribunyaviridae,Orthobunyavirus,0,1,1
3052404,orthobunyavirus kaengkhoiense,Peribunyaviridae,Orthobunyavirus,0,1,1
3052406,orthobunyavirus keystoneense,Peribunyaviridae,Orthobunyavirus,0,1,1
3052407,orthobunyavirus khatangaense,Peribunyaviridae,Orthobunyavirus,0,1,1
3052409,orthobunyavirus lacrosseense,Peribunyaviridae,Orthobunyavirus,0,1,1
3052413,orthobunyavirus madridense,Peribunyaviridae,Orthobunyavirus,0,1,1
3052414,orthobunyavirus maguariense,Peribunyaviridae,Orthobunyavirus,0,0,0
3052418,orthobunyavirus maritubaense,Peribunyaviridae,Orthobunyavirus,0,1,1
3052420,orthobunyavirus melajoense,Peribunyaviridae,Orthobunyavirus,0,1,1
3052424,orthobunyavirus mpokoense,Peribunyaviridae,Orthobunyavirus,0,1,1
3052428,orthobunyavirus oribocaense,Peribunyaviridae,Orthobunyavirus,0,1,1
3052429,orthobunyavirus oropoucheense,Peribunyaviridae,Orthobunyavirus,0,1,1
3052431,orthobunyavirus patoisense,Peribunyaviridae,Orthobunyavirus,0,1,1
3052439,orthobunyavirus shermanense,Peribunyaviridae,Orthobunyavirus,0,1,1
3052440,orthobunyavirus shuniense,Peribunyaviridae,Orthobunyavirus,0,1,1
3052444,orthobunyavirus tacaiumaense,Peribunyaviridae,Orthobunyavirus,0,1,1
3052445,orthobunyavirus tahynaense,Peribunyaviridae,Orthobunyavirus,0,1,1
3052446,orthobunyavirus tataguineense,Peribunyaviridae,Orthobunyavirus,0,0,0
3052456,orthobunyavirus wyeomyiae,Peribunyaviridae,Orthobunyavirus,0,1,1
181003,oya virus,Peribunyaviridae,Orthobunyavirus,0,0,0
348011,restan virus,Peribunyaviridae,Orthobunyavirus,0,0,0
1678230,trubanaman virus,Peribunyaviridae,Orthobunyavirus,0,1,1
273348,xingu virus,Peribunyaviridae,Orthobunyavirus,0,0,0
2583509,gemycircularvirus cn-gz1,Genomoviridae,Gemycircularvirus,0,0,0
1862824,gemycircularvirus hv-gcv1,Genomoviridae,Gemycircularvirus,0,0,0
1488574,human genital-associated circular dna virus-1,Genomoviridae,Gemygorvirus,1,0,0
1588761,gemycircularvirus bz1,Genomoviridae,Gemykibivirus,0,0,0
1588762,gemycircularvirus bz2,Genomoviridae,Gemykibivirus,0,0,0
1673681,gemycircularvirus c1c,Genomoviridae,Gemykibivirus,0,0,0
1588764,gemycircularvirus sl1,Genomoviridae,Gemykibivirus,0,0,0
1588765,gemycircularvirus sl2,Genomoviridae,Gemykibivirus,0,0,0
1588766,gemycircularvirus sl3,Genomoviridae,Gemykibivirus,0,0,0
2004487,human associated gemykibivirus 1,Genomoviridae,Gemykibivirus,1,0,0
2004957,human associated gemykibivirus 2,Genomoviridae,Gemykibivirus,1,1,1
2004961,human associated gemykibivirus 4,Genomoviridae,Gemykibivirus,1,0,0
2004962,human associated gemykibivirus 5,Genomoviridae,Gemykibivirus,1,0,0
1516081,mssi2.225 virus,Genomoviridae,Gemykibivirus,0,0,0
1985415,human associated gemyvongvirus 1,Genomoviridae,Gemyvongvirus,1,0,0
2853105,genomovirus az4_17,Genomoviridae,,0,0,0
3052299,mammarenavirus brazilense,Arenaviridae,Mammarenavirus,1,0,0
3052300,mammarenavirus caliense,Arenaviridae,Mammarenavirus,0,1,1
3052302,mammarenavirus chapareense,Arenaviridae,Mammarenavirus,0,0,0
3052303,mammarenavirus choriomeningitidis,Arenaviridae,Mammarenavirus,0,1,1
3052305,mammarenavirus flexalense,Arenaviridae,Mammarenavirus,0,1,1
3052307,mammarenavirus guanaritoense,Arenaviridae,Mammarenavirus,0,1,1
2169991,mammarenavirus juninense,Arenaviridae,Mammarenavirus,0,1,1
3052310,mammarenavirus lassaense,Arenaviridae,Mammarenavirus,1,1,1
3052314,mammarenavirus lujoense,Arenaviridae,Mammarenavirus,1,1,1
3052317,mammarenavirus machupoense,Arenaviridae,Mammarenavirus,1,1,1
3052328,mammarenavirus tacaribeense,Arenaviridae,Mammarenavirus,0,1,1
3052329,mammarenavirus tamiamiense,Arenaviridae,Mammarenavirus,0,1,1
3052330,mammarenavirus wenzhouense,Arenaviridae,Mammarenavirus,0,1,1
3052331,mammarenavirus whitewaterense,Arenaviridae,Mammarenavirus,0,1,1
248062,erve virus,Nairoviridae,Orthonairovirus,0,1,1
1453408,issyk-kul virus,Nairoviridae,Orthonairovirus,0,1,1
3052510,orthonairovirus bushkeyense,Nairoviridae,Orthonairovirus,0,0,0
3052514,orthonairovirus dugbeense,Nairoviridae,Orthonairovirus,0,1,1
3052518,orthonairovirus haemorrhagiae,Nairoviridae,Orthonairovirus,1,1,1
3052523,orthonairovirus kasokeroense,Nairoviridae,Orthonairovirus,0,1,1
3052525,orthonairovirus khani,Nairoviridae,Orthonairovirus,0,1,1
3051989,bandavirus bhanjanagarense,Phenuiviridae,Bandavirus,0,1,1
2748958,bandavirus dabieense,Phenuiviridae,Bandavirus,0,1,1
3051992,bandavirus heartlandense,Phenuiviridae,Bandavirus,0,1,1
1001303,huaiyangshan virus,Phenuiviridae,Bandavirus,0,0,0
1933190,sfts phlebovirus,Phenuiviridae,Bandavirus,0,1,1
1000647,morumbi virus,Phenuiviridae,Phlebovirus,0,0,0
2734436,phlebovirus alenquerense,Phenuiviridae,Phlebovirus,0,0,0
3052637,phlebovirus bujaruense,Phenuiviridae,Phlebovirus,0,1,1
3052640,phlebovirus candiruense,Phenuiviridae,Phlebovirus,0,0,0
3052641,phlebovirus chagresense,Phenuiviridae,Phlebovirus,0,0,0
3052647,phlebovirus echarateense,Phenuiviridae,Phlebovirus,0,0,0
3052660,phlebovirus maldonadoense,Phenuiviridae,Phlebovirus,0,0,0
3052665,phlebovirus mungubaense,Phenuiviridae,Phlebovirus,0,0,0
3052676,phlebovirus riftense,Phenuiviridae,Phlebovirus,0,1,1
1848960,phlebovirus sdyy104/china/2011,Phenuiviridae,Phlebovirus,0,0,0
3052684,phlebovirus toroense,Phenuiviridae,Phlebovirus,0,1,1
3052686,phlebovirus toscanaense,Phenuiviridae,Phlebovirus,0,1,1
1048856,sand fever naples-like virus,Phenuiviridae,Phlebovirus,0,0,0
688699,sandfly fever turkey virus,Phenuiviridae,Phlebovirus,0,0,0
1000649,serra norte virus,Phenuiviridae,Phlebovirus,0,0,0
2576944,dar es salaam virus tz-189,Phenuiviridae,Tanzavirus,1,0,0
3052801,uukuvirus kabutoense,Phenuiviridae,Uukuvirus,0,1,1
3052811,uukuvirus uukuniemiense,Phenuiviridae,Uukuvirus,0,1,1
291484,hepatitis e virus,Hepeviridae,,1,1,1
185579,hepatitis e virus type 1,Hepeviridae,Paslahepevirus,1,1,1
509628,hepatitis e virus type 3,Hepeviridae,Paslahepevirus,0,1,1
185580,hepatitis e virus type 4,Hepeviridae,Paslahepevirus,0,1,1
1678143,paslahepevirus balayani,Hepeviridae,Paslahepevirus,0,1,1
1678145,rocahepevirus ratti,Hepeviridae,Rocahepevirus,0,1,1
11041,rubella virus,Matonaviridae,Rubivirus,1,0,0
1812175,rubella virus genotype 1a,Matonaviridae,Rubivirus,1,0,0
1136260,rubella virus genotype 2b,Matonaviridae,Rubivirus,1,0,0
50292,cercopithecine betaherpesvirus 5,Orthoherpesviridae,Cytomegalovirus,0,1,1
10359,human betaherpesvirus 5,Orthoherpesviridae,Cytomegalovirus,1,1,1
10376,human gammaherpesvirus 4,Orthoherpesviridae,Lymphocryptovirus,1,1,1
37296,human gammaherpesvirus 8,Orthoherpesviridae,Rhadinovirus,1,1,1
10381,saimiriine gammaherpesvirus 2,Orthoherpesviridae,Rhadinovirus,0,1,1
32603,human betaherpesvirus 6a,Orthoherpesviridae,Roseolovirus,1,1,1
32604,human betaherpesvirus 6b,Orthoherpesviridae,Roseolovirus,1,0,0
10372,human betaherpesvirus 7,Orthoherpesviridae,Roseolovirus,1,1,1
10298,human alphaherpesvirus 1,Orthoherpesviridae,Simplexvirus,1,1,1
10310,human alphaherpesvirus 2,Orthoherpesviridae,Simplexvirus,1,1,1
10325,macacine alphaherpesvirus 1,Orthoherpesviridae,Simplexvirus,0,1,1
10353,saimiriine alphaherpesvirus 1,Orthoherpesviridae,Simplexvirus,0,1,1
10335,human alphaherpesvirus 3,Orthoherpesviridae,Varicellovirus,1,1,1
10345,suid alphaherpesvirus 1,Orthoherpesviridae,Varicellovirus,0,1,1
1341019,parvovirus nih-cqv,Oomyviridae,Nicoomyvirus,0,1,1
44158,aura virus,Togaviridae,Alphavirus,0,1,1
48540,babanki virus,Togaviridae,Alphavirus,0,0,0
11020,barmah forest virus,Togaviridae,Alphavirus,0,1,1
59305,bebaru virus,Togaviridae,Alphavirus,0,0,0
37124,chikungunya virus,Togaviridae,Alphavirus,1,1,1
11021,eastern equine encephalitis virus,Togaviridae,Alphavirus,0,1,1
2083198,everglades virus,Togaviridae,Alphavirus,0,1,1
59300,getah virus,Togaviridae,Alphavirus,0,1,1
11024,highlands j virus,Togaviridae,Alphavirus,0,1,1
79899,igbo ora virus,Togaviridae,Alphavirus,0,0,0
48542,kyzylagach virus,Togaviridae,Alphavirus,0,0,0
1440170,madariaga virus,Togaviridae,Alphavirus,0,1,1
59301,mayaro virus,Togaviridae,Alphavirus,0,1,1
11023,middelburg virus,Togaviridae,Alphavirus,0,1,1
2083199,mosso das pedras virus,Togaviridae,Alphavirus,0,0,0
60875,mucambo virus,Togaviridae,Alphavirus,0,1,1
59302,ndumu virus,Togaviridae,Alphavirus,0,1,1
31699,ockelbo virus,Togaviridae,Alphavirus,0,1,1
2169701,onyong-nyong virus,Togaviridae,Alphavirus,0,1,1
60876,pixuna virus,Togaviridae,Alphavirus,0,1,1
332097,rio negro virus,Togaviridae,Alphavirus,0,1,1
11029,ross river virus,Togaviridae,Alphavirus,1,1,1
59303,sagiyama virus,Togaviridae,Alphavirus,0,1,1
11033,semliki forest virus,Togaviridae,Alphavirus,0,1,1
11034,sindbis virus,Togaviridae,Alphavirus,0,1,1
84272,sindbis-like virus yn87448,Togaviridae,Alphavirus,0,0,0
60877,tonate virus,Togaviridae,Alphavirus,0,1,1
11036,venezuelan equine encephalitis virus,Togaviridae,Alphavirus,0,1,1
11039,western equine encephalitis virus,Togaviridae,Alphavirus,0,1,1
48543,whataroa virus,Togaviridae,Alphavirus,0,1,1
1714621,borna disease virus 1,Bornaviridae,Orthobornavirus,0,1,1
1714619,orthobornavirus bornaense,Bornaviridae,Orthobornavirus,0,0,0
1897087,orthobornavirus sciuri,Bornaviridae,Orthobornavirus,0,1,1
3052181,dianlovirus menglaense,Filoviridae,Dianlovirus,0,1,1
565995,bundibugyo virus,Filoviridae,Orthoebolavirus,1,1,1
186539,reston ebolavirus,Filoviridae,Orthoebolavirus,0,1,1
186540,sudan ebolavirus,Filoviridae,Orthoebolavirus,1,1,1
186541,tai forest ebolavirus,Filoviridae,Orthoebolavirus,1,1,1
186538,zaire ebolavirus,Filoviridae,Orthoebolavirus,1,1,1
3052505,orthomarburgvirus marburgense,Filoviridae,Orthomarburgvirus,0,1,1
3052221,henipavirus cedarense,Paramyxoviridae,Henipavirus,0,1,1
3052223,henipavirus hendraense,Paramyxoviridae,Henipavirus,0,1,1
3052225,henipavirus nipahense,Paramyxoviridae,Henipavirus,1,1,1
11234,measles morbillivirus,Paramyxoviridae,Morbillivirus,1,1,1
658048,measles virus genotype b3,Paramyxoviridae,Morbillivirus,1,1,1
1511733,measles virus genotype d11,Paramyxoviridae,Morbillivirus,1,0,0
170525,measles virus genotype d4,Paramyxoviridae,Morbillivirus,1,0,0
170528,measles virus genotype d8,Paramyxoviridae,Morbillivirus,1,0,0
1056491,measles virus genotype d9,Paramyxoviridae,Morbillivirus,1,0,0
1056492,measles virus genotype g3,Paramyxoviridae,Morbillivirus,1,0,0
763792,measles virus genotype h1,Paramyxoviridae,Morbillivirus,1,0,0
132484,measles virus strain moraten,Paramyxoviridae,Morbillivirus,1,0,0
3052342,morbillivirus canis,Paramyxoviridae,Morbillivirus,0,1,1
2560319,avian paramyxovirus 1,Paramyxoviridae,Orthoavulavirus,0,1,1
2560321,avian paramyxovirus 13,Paramyxoviridae,Orthoavulavirus,0,1,1
159079,pigeon paramyxovirus 1,Paramyxoviridae,Orthoavulavirus,0,1,1
2560525,human orthorubulavirus 2,Paramyxoviridae,Orthorubulavirus,1,1,1
2560526,human orthorubulavirus 4,Paramyxoviridae,Orthorubulavirus,1,0,0
11224,human parainfluenza virus 4a,Paramyxoviridae,Orthorubulavirus,1,0,0
11226,human parainfluenza virus 4b,Paramyxoviridae,Orthorubulavirus,1,0,0
2560580,mammalian orthorubulavirus 5,Paramyxoviridae,Orthorubulavirus,0,1,1
2560602,mumps orthorubulavirus,Paramyxoviridae,Orthorubulavirus,1,1,1
1395181,mumps virus genotype a,Paramyxoviridae,Orthorubulavirus,1,0,0
1395182,mumps virus genotype b,Paramyxoviridae,Orthorubulavirus,1,0,0
1428458,mumps virus genotype c,Paramyxoviridae,Orthorubulavirus,1,0,0
1395179,mumps virus genotype d,Paramyxoviridae,Orthorubulavirus,1,0,0
1384673,mumps virus genotype f,Paramyxoviridae,Orthorubulavirus,1,0,0
1384672,mumps virus genotype g,Paramyxoviridae,Orthorubulavirus,1,0,0
1395180,mumps virus genotype h,Paramyxoviridae,Orthorubulavirus,1,0,0
1578041,mumps virus genotype i,Paramyxoviridae,Orthorubulavirus,1,0,0
1395183,mumps virus genotype n,Paramyxoviridae,Orthorubulavirus,1,0,0
3052561,orthorubulavirus simiae,Paramyxoviridae,Orthorubulavirus,0,1,1
3052224,parahenipavirus mojiangense,Paramyxoviridae,Parahenipavirus,0,1,1
3052599,pararubulavirus menangleense,Paramyxoviridae,Pararubulavirus,0,1,1
3052600,pararubulavirus sosugaense,Paramyxoviridae,Pararubulavirus,0,1,1
3052602,pararubulavirus tiomanense,Paramyxoviridae,Pararubulavirus,0,1,1
12730,human respirovirus 1,Paramyxoviridae,Respirovirus,1,1,1
11216,human respirovirus 3,Paramyxoviridae,Respirovirus,1,1,1
