virus_taxid,zoonotic,human_to_human
1972579,1,0.0
1972587,1,0.0
1978540,0,0.0
1980456,1,1.0
1983771,1,
1983780,1,
1987017,0,
1987018,0,
1987019,0,
1987106,1,
2018683,0,
2021738,1,
2022413,1,
2039694,1,
2044876,0,
2049444,1,
2050578,1,
2052558,1,
2055263,1,
2060135,0,1.0
2060136,0,1.0
2060137,0,1.0
2060138,0,1.0
2060139,0,1.0
2060140,0,1.0
2065036,0,1.0
2065037,0,
2065038,0,
2065044,0,
2065045,0,
2065046,0,1.0
2065047,0,1.0
2065048,0,1.0
2065049,0,1.0
2065050,0,1.0
2065051,0,1.0
2065052,0,1.0
2065053,0,1.0
2065054,0,1.0
2065055,0,1.0
2065056,0,1.0
2081950,1,
2083198,1,0.0
2083199,0,0.0
2093788,0,
2094719,1,
2152919,0,
2169479,1,
2169701,1,0.0
2169902,0,1.0
2169934,0,1.0
2169935,0,1.0
2169936,0,1.0
2169991,1,0.0
2170060,1,0.0
2170113,0,1.0
2170194,1,
2170197,0,0.0
2184749,0,
2200830,1,0.0
2200956,0,1.0
2200957,0,1.0
2200958,0,1.0
2200959,0,1.0
2202565,1,
2202649,1,
2219046,1,
2219047,0,
2219052,0,
2219053,0,
2219997,0,
2219998,0,
2231327,1,
2259728,0,0.0
2269360,1,0.0
2304647,1,
2364099,0,
2448649,1,
2461378,0,1.0
2497865,0,
2497866,0,
2497867,0,
2498143,1,
2506584,0,0.0
2510939,1,
2516502,1,
2560319,1,0.0
2560525,1,1.0
2560526,0,1.0
2560580,1,0.0
2560602,1,1.0
2585031,1,
2585267,1,
2602438,0,
2602439,0,
2609450,0,0.0
2712269,1,
2714898,0,1.0
2714899,0,1.0
2715094,1,
2715178,1,
2716315,0,
2717630,1,
2731271,1,
2732654,0,
2732655,0,
2734294,1,1.0
2734436,0,0.0
2747210,1,0.0
2747383,1,
2748252,0,0.0
2748253,0,0.0
2748254,0,0.0
2748378,1,
2748762,1,0.0
2748958,1,0.0
2749445,0,0.0
2749446,0,0.0
2749447,0,0.0
2749946,1,
2778524,0,1.0
2779404,1,
2795181,0,
2809145,0,
2809175,1,
2809196,0,
2809199,0,
2809396,1,
2809423,0,
2809456,1,
2809674,1,
2809802,0,
2825847,0,
2835276,0,
2844074,0,
2844076,0,
2844554,0,
2844581,0,
2844582,1,
2844583,1,
2844584,0,
2844585,0,
2844646,0,
2844800,1,
2844802,1,
2844803,1,
2844804,1,
2844805,0,
2845010,0,
2845897,0,
2845899,0,
2845900,0,
2846071,0,
2916986,1,
2927897,0,
2944249,0,
2951618,1,
2951619,1,
2955291,1,
2955297,0,
2955465,1,
2955745,0,
2955746,0,
2955925,1,
2955935,1,
2956252,1,
2956523,0,
2960421,0,
2960825,0,
2961098,1,
2982807,0,
3014888,0,
3026463,0,
3027325,0,
3041468,0,
3043599,0,
3044602,1,
3046277,1,
3047743,1,
3047956,0,
3047957,0,
3047958,0,
3047959,0,
3047960,0,
3047961,0,
3047962,1,
3047963,0,
3047964,1,
3047965,0,
3047966,1,
3047967,0,
3048148,1,
3048158,1,
3048170,1,
3048175,1,
3048183,0,
3048184,1,
3048215,1,
3048233,1,
3048278,1,
3048279,1,
3048287,1,
3048360,1,
3048380,0,
3048381,0,
3048382,0,
3048383,0,
3048384,0,
3048385,0,
3048386,0,
3048387,0,
3048388,0,
3048389,0,
3048390,0,
3048391,0,
3048392,0,
3048393,0,
3048394,0,
3048395,0,
3048396,0,
3048397,0,
3048398,0,
3048399,0,
3048400,0,
3048401,0,
3048402,0,
3048403,0,
3048404,0,
3048405,0,
3048406,0,
3048407,0,
3048413,1,
3048414,0,
3048415,0,
3048417,0,
3048418,0,
3048419,0,
3048420,0,
3048421,1,
3048422,0,
3048423,0,
3048424,0,
3048427,0,
3048428,0,
3048430,0,
3048431,0,
3048432,0,
3048433,0,
3048443,1,
3048447,1,
3048448,1,
3048459,1,
3049952,1,
3049953,1,
3049954,1,
3050248,1,
3050258,1,
3050292,1,
3050293,1,
3050294,0,
3050295,1,
3050296,0,
3050297,1,
3050298,0,
3050299,1,
3050300,1,
3050305,1,
3050355,1,
3050361,0,
3051375,1,
3051623,0,
3051624,1,0.0
3051989,1,0.0
3051992,0,0.0
3052001,0,
3052003,0,
3052004,0,
3052006,0,
3052007,0,
3052010,0,
3052011,0,
3052013,0,
3052014,0,
3052015,0,
3052019,0,
3052020,0,
3052021,0,
3052022,0,
3052023,0,
3052024,0,
3052040,1,0.0
3052041,1,
3052121,0,1.0
3052189,1,1.0
3052190,1,
3052194,1,
3052223,1,0.0
3052225,1,1.0
3052230,1,1.0
3052236,1,0.0
3052244,0,
3052299,0,1.0
3052300,1,0.0
3052302,0,0.0
3052303,1,0.0
3052305,1,0.0
3052307,1,0.0
3052310,1,1.0
3052314,0,1.0
3052317,1,1.0
3052328,1,0.0
3052329,1,0.0
3052331,1,0.0
3052342,1,0.0
3052343,1,
3052345,1,
3052370,1,0.0
3052371,1,0.0
3052380,0,
3052381,1,0.0
3052384,1,
3052385,1,0.0
3052387,1,0.0
3052388,0,
3052389,1,
3052390,1,0.0
3052396,1,
3052397,1,0.0
3052399,0,0.0
3052400,1,
3052401,1,0.0
3052402,0,0.0
3052404,1,0.0
3052406,1,0.0
3052409,1,0.0
3052413,1,0.0
3052414,0,0.0
3052416,1,
3052418,1,0.0
3052420,0,0.0
3052424,1,0.0
3052426,1,
3052428,1,0.0
3052429,1,0.0
3052431,1,0.0
3052434,0,
3052439,1,0.0
3052440,1,0.0
3052441,1,
3052444,1,0.0
3052445,0,0.0
3052446,0,0.0
3052452,1,
3052456,1,0.0
3052458,1,
3052459,1,
3052460,0,
3052461,0,
3052462,1,
3052464,1,
3052465,1,
3052466,1,
3052468,1,
3052470,1,
3052474,1,0.0
3052477,1,0.0
3052480,1,0.0
3052489,1,
3052490,1,
3052492,1,
3052493,1,1.0
3052496,1,
3052498,1,0.0
3052499,1,0.0
3052501,1,
3052503,1,0.0
3052505,1,0.0
3052510,1,0.0
3052514,1,0.0
3052518,1,1.0
3052523,1,0.0
3052525,1,0.0
3052529,1,
3052536,1,
3052537,1,
3052556,0,
3052557,1,
3052558,1,
3052560,1,
3052561,1,0.0
3052599,1,0.0
3052600,1,0.0
3052602,1,0.0
3052606,0,
3052608,1,
3052610,1,
3052619,1,
3052626,1,
3052637,1,0.0
3052640,1,0.0
3052641,0,0.0
3052643,0,
3052647,0,0.0
3052660,0,0.0
3052664,1,
3052676,1,0.0
3052679,1,
3052681,1,
3052684,1,0.0
3052686,1,0.0
3052713,1,
3052714,0,
3052716,1,
3052759,0,
3052770,1,
3052789,1,0.0
3052808,1,
3052811,1,0.0
3060422,1,
3060504,1,
3060506,0,
3060740,0,
3067642,0,
3103131,0,
3115662,0,
3115878,0,
3115910,0,
3115911,0,
3115912,0,
3115913,0,
3115914,0,
3115915,0,
3115916,0,
3115917,0,
3115990,0,
3115991,0,
3115992,0,
3115993,0,
3116674,0,
3116675,0,
3116676,0,
3116700,0,
3116729,0,
3116880,1,
3116967,0,
3116968,0,
3116969,0,
3116970,0,
3116971,0,
3116972,0,
3116973,0,
3116974,0,
3116975,0,
3117104,0,
3117105,0,
3117106,0,
3117107,0,
3117108,0,
3117109,0,
3117234,0,
3117235,0,
3117316,0,
3117321,0,
3117322,0,
3160822,0,
3160823,0,
3160824,0,
3160827,0,
3160828,0,
3160829,0,
3163396,0,
3229048,0,
3229049,0,
3229050,0,
3229051,0,
3229052,0,
3229053,0,
3229054,0,
3229055,0,
3229056,0,
3229057,0,
3239073,0,
3241402,0,
3241406,1,
3241410,1,
3241411,1,
3241420,0,
3241425,1,
3241426,1,
3243314,1,
3298505,0,
3366332,1,
3402313,0,
3402314,0,
3402315,0,
3402316,0,
3402317,0,
3402318,0,
3402319,0,
3402320,0,
3402321,0,
3402322,0,
3402323,0,
3402324,0,
3402325,0,
3402326,0,
3402327,0,
3402328,0,
3402329,0,
3402330,0,
3402331,0,
3402332,0,
3402333,0,
3402334,0,
3402335,0,
3402336,0,
3402337,0,
3402338,0,
3402339,0,
3402340,0,
3402341,0,
3402342,0,
3402343,0,
3402344,0,
3402345,0,
3402346,0,
3402347,0,
3402348,0,
3402349,0,
3402350,0,
3402351,0,
3402352,0,
3402353,0,
3402354,0,
3402355,0,
3402356,0,
3402359,0,
3402360,0,
3402361,0,
3402362,0,
3402363,0,
3402364,0,
3402365,0,
3402366,0,
3402367,0,
3402368,0,
3402369,0,
3402370,0,
3407641,1,
3409856,0,
3418604,1,
3418650,1,
3418651,0,
3422298,1,
3425776,0,
3425777,0,
3425778,0,
3425779,0,
3426293,0,
3426294,1,
3426298,1,
3426305,1,
3426306,1,
3426307,1,
3426314,1,
3426317,1,
3426319,1,
3426330,0,
3426544,1,
3427295,1,
3427731,0,
3427732,1,
3427953,0,
3428066,1,
3428094,0,
3428095,0,
3428096,0,
3428097,0,
3428098,0,
3428211,1,
3428500,1,
3428501,0,
3428502,1,
3428503,0,
3428504,0,
3428505,0,
3428506,1,
3428512,1,
3428953,1,
3428959,1,
3429214,1,
3429216,1,
3430625,1,
3430629,1,
3430630,0,
3430631,1,
3430637,1,
3430641,1,
3430642,1,
3430817,1,
3430922,1,
3431103,0,
3431196,1,
3431248,0,
3431250,0,
3431295,1,
3431302,1,
3431360,1,
3431388,1,
3431389,1,
3431390,1,
3431395,0,
3431480,1,
3431481,1,
3431483,1,
3431487,0,
3432189,1,
3432193,1,
3432203,1,
3432241,0,
3432266,1,
3432451,0,
3432458,0,
3432910,0,
3433198,1,
3433538,0,
3433633,1,
3433756,1,
3433757,1,
3433758,1,
3433792,1,
3433809,0,
